paxCode,label,steamId
PAX0010212308,The Dark Pictures Anthology: Man of Medan,939850
PAX0010214790,Dragon Ball: Xenoverse 2 - Ultra Pack Set (DLC),1108460
PAX0010250558,Little Nightmares: Secrets of The Maw (DLC),640920
PAX0010254468,Dragon Ball Xenoverse 2: Super Pass (DLC),507510
PAX0010283674,RAD,722560
PAX0010286360,Tekken 7 (Rematch Edition),
PAX0010286462,Tekken 7 Season Pass (DLC),580020
PAX0010301898,Naruto Shippuden: Ultimate Ninja Storm 4,
PAX0010324338,Code Vein,678960
PAX0010344364,Tekken 7 Season Pass 3 (DLC),1114550
PAX0010347560,Ni no Kuni: Wrath of the White Witch Remastered,798460
PAX0010351164,One Piece: Unlimited World Red - Deluxe Edition,571720
PAX0010361296,Code Vein (Deluxe Edition),
PAX0010361364,Code Vein Season Pass (DLC),773991
PAX0010367280,Tales of Vesperia (Definitive Edition),738540
PAX0010367484,Soulcalibur VI Season Pass (DLC),874360
PAX0010373604,Dark Souls II Bundle,
PAX0010382818,Dark Souls III: The Ringed City (DLC),
PAX0010382852,Dark Souls: Remastered,
PAX0010393018,Jump Force (Deluxe Edition),
PAX0010393392,Get Even,299950
PAX0010401246,One Piece: Pirate Warriors 3 (Deluxe Edition),
PAX0010401552,My Hero One's Justice,
PAX0010401620,Dragon Ball Xenoverse 2,
PAX0010423108,One Piece: World Seeker (Deluxe Edition),
PAX0010423822,Jump Force: Characters Pass (DLC),974726
PAX0010425964,Sword Art Online Re: Hollow Fragment,638650
PAX0010431846,One Piece: World Seeker (Deluxe Edition),
PAX0010432186,Ace Combat 7: Skies Unknown Season Pass (DLC),
PAX0010436198,Naruto to Boruto: Shinobi Striker (Deluxe Edition),
PAX0010440312,Tokyo Ghoul:re [Call to Exist],756530
PAX0010445650,Get Even,
PAX0010464792,Code Vein,678960
PAX0010474210,Dragon Ball Z: Kakarot,851850
PAX0010475706,One Piece: Burning Blood (Gold Edition),501580
PAX0010476862,Dragon Ball: Xenoverse 2,
PAX0010488082,One Piece: World Seeker - Episode Pass (DLC),1024920
PAX0010489986,Dragon Ball Z: Kakarot (Deluxe Edition),
PAX0010507598,Dragon Ball Z: Kakarot,851850
PAX0010508924,Code Vein,
PAX0010508958,Code Vein (Deluxe Edition),
PAX0010510590,Dark Souls II: Scholar of the First Sin,
PAX0010511032,Dark Souls III,
PAX0010511202,Dark Souls III: Season Pass (DLC),
PAX0010511338,Dark Souls III (Deluxe Edition),
