Customer,Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP
Heybox,CODE VEIN II,L00239,86,268.0,0.25,201.0,29.07867,2500.76562,3.7802271,2175.6660893999997,0.2,435.13321787999996,0.05,108.78330446999999,0.05,108.78330446999999,17.71,1523.0600000000002,0.6090374834887565
Heybox,CODE VEIN II Deluxe Edition,L00240,3,398.0,0.0,398.0,57.57866,172.73597999999998,7.4852258,150.2803026,0.2,30.056060520000003,0.05,7.514015130000001,0.05,7.514015130000001,35.07,105.21000000000001,0.60907982228138
Heybox,CODE VEIN II Deluxe Edition,L00240,17,398.0,0.25,298.0,43.11166,732.89822,5.604515800000001,637.6214514,0.2,127.52429028,0.05,31.88107257,0.05,31.88107257,26.26,446.42,0.6091159561009712
Heybox,CODE VEIN II Ultimate Edition,L00241,8,468.0,0.0,468.0,67.70555999999999,541.6444799999999,8.801722799999999,471.2306975999999,0.2,94.24613951999999,0.05,23.561534879999996,0.05,23.561534879999996,41.23,329.84,0.6089603276304044
Heybox,CODE VEIN II Ultimate Edition,L00241,27,468.0,0.25,351.0,50.77917,1371.03759,6.6012921,1192.8027032999998,0.2,238.56054066,0.05,59.640135165,0.05,59.640135165,30.92,834.84,0.6089110948445987
Heybox,Captain Tsubasa: Rise of New Champions,E03350,50,198.0,0.88,23.0,3.32741,166.3705,0.43256330000000004,144.742335,0.2,28.948467,0.05,7.23711675,0.05,7.23711675,2.03,101.49999999999999,0.6100841194803165
Heybox,Captain Tsubasa: Rise of New Champions,E03350,3,198.0,0.75,49.0,7.08883,21.266489999999997,0.9215479,18.501846299999997,0.2,3.7003692599999995,0.05,0.9250923149999999,0.05,0.9250923149999999,4.32,12.96,0.6094094512070399
Heybox,Captain Tsubasa: Rise of New Champions - Deluxe Edition,E04120,2,298.0,0.75,74.0,10.70558,21.41116,1.3917254,18.627709199999998,0.2,3.72554184,0.05,0.93138546,0.05,0.93138546,6.52,13.04,0.6090281890378663
Heybox,Captain Tsubasa: Rise of New Champions - Deluxe Edition,E04120,18,298.0,0.84,47.0,6.79949,122.39081999999999,0.8839336999999999,106.48001339999999,0.2,21.29600268,0.05,5.32400067,0.05,5.32400067,4.14,74.52,0.6088691946013598
Heybox,Captain Tsubasa: Rise of New Champions - Ultimate Edition,E06275,38,398.0,0.82,71.0,10.271569999999999,390.31965999999994,1.3353040999999999,339.5781041999999,0.2,67.91562083999999,0.05,16.978905209999997,0.05,16.978905209999997,6.26,237.88,0.6094491883908693
Heybox,DEATH NOTE Killer Within,E06643,93,48.0,0.5,24.0,3.47208,322.90344,0.4513704,280.9259928,0.2,56.18519856,0.05,14.04629964,0.05,14.04629964,2.11,196.23,0.6077048915923596
Heybox,DEATH NOTE Killer Within,E06643,1,48.0,0.0,48.0,6.94416,6.94416,0.9027408,6.0414192,0.2,1.20828384,0.05,0.30207096,0.05,0.30207096,4.23,4.23,0.6091449505771757
Heybox,DEATH NOTE Killer Within Special Edition,E06646,3,98.0,0.0,98.0,14.17766,42.532979999999995,1.8430958,37.003692599999994,0.2,7.400738519999999,0.05,1.8501846299999998,0.05,1.8501846299999998,8.63,25.89,0.6087041161940688
