Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP,Unnamed: 19,Unnamed: 20
SPY×ANYA: Operation Memories Deluxe Edition,E06533,1,348.0,0.35,226.0,31.0411,31.0411,4.035343,27.005757,0.2,5.4011514,0.05,1.35028785,0.05,1.35028785,18.9,18.9,0.6088701753481673,E06533,Match
Super Robot Wars 30,E04508,25,368.0,0.67,121.0,16.61935,415.48375000000004,2.1605155000000003,361.4708625,0.2,72.2941725,0.05,18.073543125,0.05,18.073543125,10.12,252.99999999999997,0.6089287487176092,E04508,Match
Super Robot Wars 30 Digital Deluxe Edition,E05097,1,528.0,0.0,528.0,72.5208,72.5208,9.427704,63.093095999999996,0.2,12.6186192,0.05,3.1546548,0.05,3.1546548,44.17,44.17,0.6090666401915038,E05097,Match
Super Robot Wars 30 Digital Deluxe Edition,E05097,20,528.0,0.7,158.0,21.7013,434.026,2.8211690000000003,377.60262,0.2,75.52052400000001,0.05,18.880131000000002,0.05,18.880131000000002,13.22,264.40000000000003,0.60918009520167,E05097,Match
Super Robot Wars 30 Ultimate Edition,E05098,2,678.0,0.6,271.0,37.22185,74.4437,4.838840500000001,64.766019,0.2,12.9532038,0.05,3.23830095,0.05,3.23830095,22.67,45.34,0.6090508666280693,E05098,Match
SUPER ROBOT WARS X,E03632,52,248.0,0.75,62.0,8.5157,442.81640000000004,1.1070410000000002,385.250268,0.2,77.05005360000001,0.05,19.262513400000003,0.05,19.262513400000003,5.19,269.88,0.6094625221649423,E03632,Match
SWORD ART ONLINE Alicization Lycoris,E03060,9,298.0,0.84,47.0,6.45545,58.09905,0.8392085,50.5461735,0.2,10.109234700000002,0.05,2.5273086750000004,0.05,2.5273086750000004,3.93,35.370000000000005,0.6087879233825683,E03060,Match
SWORD ART ONLINE Alicization Lycoris Deluxe Edition,E03954,1,498.0,0.0,498.0,68.4003,68.4003,8.892039,59.508261000000005,0.2,11.901652200000001,0.05,2.9754130500000002,0.05,2.9754130500000002,41.66,41.66,0.6090616561623267,E03954,Match
SWORD ART ONLINE Alicization Lycoris Deluxe Edition,E03954,4,498.0,0.81,94.0,12.9109,51.6436,1.678417,44.929932,0.2,8.9859864,0.05,2.2464966,0.05,2.2464966,7.86,31.44,0.6087879233825683,E03954,Match
SWORD ART ONLINE Fractured Daydream,E06120,14,298.0,0.34,196.0,26.9206,376.8884,3.4996780000000003,327.89290800000003,0.2,65.5785816,0.05,16.3946454,0.05,16.3946454,16.39,229.46,0.6088274406959726,E06120,Match
SWORD ART ONLINE Fractured Daydream,E06652,1,298.0,0.0,298.0,40.9303,40.9303,5.320939,35.609361,0.2,7.1218722,0.05,1.78046805,0.05,1.78046805,24.93,24.93,0.6090842236680405,E06120,Match
