Customer,Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP
Heybox,.hack//G.U. Last Recode,E05367,1,278.0,0.0,278.0,39.70674,39.70674,5.161876200000001,34.5448638,0.2,6.908972760000001,0.05,1.7272431900000003,0.05,1.7272431900000003,24.18,24.18,0.6089646241418962
Heybox,.hack//G.U. Last Recode,E05367,8,278.0,0.8,55.0,7.855650000000001,62.845200000000006,1.0212345,54.675324,0.2,10.935064800000001,0.05,2.7337662000000003,0.05,2.7337662000000003,4.78,38.24,0.6084792474206463
Heybox,Accel World VS. Sword Art Online Deluxe Edition,E02452,85,278.0,0.9,27.0,3.8564100000000003,327.79485000000005,0.5013333000000001,285.18151950000004,0.2,57.03630390000001,0.05,14.259075975000002,0.05,14.259075975000002,2.35,199.75,0.6093750405169573
Heybox,ACE COMBAT 7: SKIES UNKNOWN,E03174,1,268.0,0.0,268.0,38.27844,38.27844,4.9761972000000005,33.3022428,0.2,6.660448560000001,0.05,1.6651121400000002,0.05,1.6651121400000002,23.31,23.31,0.6089589857893895
Heybox,ACE COMBAT 7: SKIES UNKNOWN,E03174,4164,268.0,0.86,37.0,5.2847100000000005,22005.532440000003,0.6870123000000001,19144.813222800003,0.2,3828.9626445600006,0.05,957.2406611400002,0.05,957.2406611400002,3.22,13408.08,0.609304957131044
Heybox,ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,281,368.0,0.8,73.0,10.426590000000001,2929.87179,1.3554567000000002,2548.9884573000004,0.2,509.7976914600001,0.05,127.44942286500003,0.05,127.44942286500003,6.35,1784.35,0.6090198233554786
Heybox,ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,1,498.0,0.0,498.0,71.12934000000001,71.12934000000001,9.246814200000003,61.88252580000001,0.2,12.376505160000002,0.05,3.0941262900000006,0.05,3.0941262900000006,43.32,43.32,0.6090313786125386
Heybox,ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,1349,498.0,0.85,74.0,10.569420000000001,14258.14758,1.3740246000000003,12404.588394600001,0.2,2480.9176789200005,0.05,620.2294197300001,0.05,620.2294197300001,6.44,8687.560000000001,0.6093049571310442
Heybox,ARMORED CORE VI FIRES OF RUBICON,E05837,8,298.0,0.0,298.0,42.563340000000004,340.50672000000003,5.533234200000001,296.2408464,0.2,59.248169280000006,0.05,14.812042320000002,0.05,14.812042320000002,25.92,207.36,0.6089747656081501
Heybox,ARMORED CORE VI FIRES OF RUBICON,E05837,2841,298.0,0.5,149.0,21.281670000000002,60461.22447000001,2.7666171000000004,52601.2652889,0.2,10520.25305778,0.05,2630.063264445,0.05,2630.063264445,12.96,36819.36,0.60897476560815
Heybox,ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,E05838,2,348.0,0.0,348.0,49.704840000000004,99.40968000000001,6.461629200000001,86.4864216,0.2,17.29728432,0.05,4.32432108,0.05,4.32432108,30.27,60.54,0.6089950193985132
Heybox,ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,E05838,453,348.0,0.5,174.0,24.852420000000002,11258.146260000001,3.2308146000000004,9794.5872462,0.2,1958.9174492400002,0.05,489.72936231000006,0.05,489.72936231000006,15.14,6858.42,0.6091962070494543
Heybox,Baten Kaitos I & II HD Remaster,E06117,34,248.0,0.5,124.0,17.71092,602.17128,2.3024196000000003,523.8890136,0.2,104.77780272000001,0.05,26.194450680000003,0.05,26.194450680000003,10.79,366.85999999999996,0.6092286566705738
Heybox,BLACK CLOVER: QUARTET KNIGHTS,E02895,40,268.0,0.89,29.0,4.14207,165.68280000000001,0.5384691,144.14403600000003,0.2,28.828807200000007,0.05,7.207201800000002,0.05,7.207201800000002,2.52,100.8,0.6083914564456901
Heybox,BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,E02950,11,288.0,0.84,46.0,6.570180000000001,72.27198000000001,0.8541234000000001,62.87662260000001,0.2,12.575324520000002,0.05,3.1438311300000006,0.05,3.1438311300000006,4.0,44.0,0.6088113263259148
