Product Name,Unnamed: 1,Unnamed: 2,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),"Payment Amount
(USD)",Disti Cost % from SRP
DARK SOULS™ II: Scholar of the First Sin,,,E01927,,198.0,0.0,198.0,26.136000000000003,,3.3976800000000007,,0.2,,0.05,,0.05,,,
DARK SOULS™ III,,,E01572,,268.0,0.0,268.0,35.376000000000005,,4.598880000000001,,0.2,,0.05,,0.05,,,
DARK SOULS™ III - Season Pass,,,E01893,,138.0,0.0,138.0,18.216,,2.3680800000000004,,0.2,,0.05,,0.05,,,
DARK SOULS™ III Deluxe Edition,,,E02323,,398.0,0.0,398.0,52.536,,6.829680000000001,,0.2,,0.05,,0.05,,,
Digimon Story Cyber Sleuth: Complete Edition,,,E05368,,228.0,0.0,228.0,30.096,,3.91248,,0.2,,0.05,,0.05,,,
Digimon Survive,,,E05471,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.05,,0.05,,,
Digimon World: Next Order,,,E04521,,248.0,0.0,248.0,32.736000000000004,,4.255680000000001,,0.2,,0.05,,0.05,,,
Doraemon Story of Seasons,,,E03496,,228.0,0.0,228.0,30.096,,3.91248,,0.2,,0.07,,0.05,,,
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,,,E05019,,248.0,0.0,248.0,32.736000000000004,,4.255680000000001,,0.2,,0.07,,0.05,,,
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,,,E05733,,348.0,0.0,348.0,45.936,,5.97168,,0.2,,0.05,,0.05,,,
DRAGON BALL FighterZ,,,E02533,,198.0,0.0,198.0,26.136000000000003,,3.3976800000000007,,0.2,,0.05,,0.05,,,
DRAGON BALL FighterZ - FighterZ Edition,,,E02595,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.07,,0.05,,,
DRAGON BALL FighterZ - Legendary Edition,,,E06163,,398.0,0.0,398.0,52.536,,6.829680000000001,,0.2,,0.05,,0.05,,,
DRAGON BALL XENOVERSE 2,,,E02035,,98.0,0.0,98.0,12.936,,1.68168,,0.2,,0.05,,0.05,,,
DRAGON BALL XENOVERSE 2 Deluxe Edition,,,E02036,,198.0,0.0,198.0,26.136000000000003,,3.3976800000000007,,0.2,,0.05,,0.05,,,
DRAGON BALL XENOVERSE 2 Special Edition,,,E05644,,248.0,0.0,248.0,32.736000000000004,,4.255680000000001,,0.2,,0.05,,0.05,,,
DRAGON BALL Z: KAKAROT,,,E03005,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.05,,0.05,,,
DRAGON BALL Z: KAKAROT - Deluxe Edition,,,E03730,,398.0,0.0,398.0,52.536,,6.829680000000001,,0.2,,0.07,,0.05,,,
DRAGON BALL Z: KAKAROT - Legendary Edition,,,E06163,,498.0,0.0,498.0,65.736,,8.54568,,0.2,,0.05,,0.05,,,
DRAGON BALL: Sparking! ZERO,,,,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.05,,0.05,,,
DRAGON BALL: Sparking! ZERO Deluxe Edition,,,,,478.0,0.0,478.0,63.096000000000004,,8.202480000000001,,0.2,,0.05,,0.05,,,
DRAGON BALL: Sparking! ZERO Ultimate Edition,,,,,538.0,0.0,538.0,71.016,,9.232080000000002,,0.2,,0.05,,0.05,,,
DRAGON BALL: THE BREAKERS,,,E05011,,98.0,0.0,98.0,12.936,,1.68168,,0.2,,0.05,,0.05,,,
DRAGON BALL: THE BREAKERS Special Edition,,,E05644,,148.0,0.0,148.0,19.536,,2.53968,,0.2,,0.05,,0.05,,,
GOD EATER 2 Rage Burst,,,E05369,,268.0,0.0,268.0,35.376000000000005,,4.598880000000001,,0.2,,0.07,,0.05,,,
God Eaters 3,,,E03177,,268.0,0.0,268.0,35.376000000000005,,4.598880000000001,,0.2,,0.07,,0.05,,,
GUNDAM BREAKER 4,,,E04524,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.05,,0.05,,,
GUNDAM BREAKER 4 Deluxe Edition,,,E06529,,448.0,0.0,448.0,59.136,,7.68768,,0.2,,0.05,,0.05,,,
GUNDAM BREAKER 4 Ultimate Edition,,,E06530,,498.0,0.0,498.0,65.736,,8.54568,,0.2,,0.05,,0.05,,,
JoJo's Bizarre Adventure: All-Star Battle R,,,E03528,,248.0,0.0,248.0,32.736000000000004,,4.255680000000001,,0.2,,0.07,,0.05,,,
JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,,,E05524,,348.0,0.0,348.0,45.936,,5.97168,,0.2,,0.07,,0.05,,,
JoJo's Bizarre Adventure: All-Star Battle R Ultimate Edition,,,E06307,,428.0,0.0,428.0,56.496,,7.344480000000001,,0.2,,0.07,,0.05,,,
Jujutsu Kaisen Cursed Clash,,,E05703,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.07,,0.05,,,
Jujutsu Kaisen Cursed Clash Deluxe Edition,,,E06213,,398.0,0.0,398.0,52.536,,6.829680000000001,,0.2,,0.07,,0.05,,,
Jujutsu Kaisen Cursed Clash Ultimate Edition,,,E06212,,498.0,0.0,498.0,65.736,,8.54568,,0.2,,0.07,,0.05,,,
Klonoa Phantasy Reverie Series,,,E04522,,198.0,0.0,198.0,26.136000000000003,,3.3976800000000007,,0.2,,0.07,,0.05,,,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,,,E05373,,108.0,0.0,108.0,14.256,,1.85328,,0.2,,0.07,,0.05,,,
NARUTO SHIPPUDEN: ULTIMATE NINJA STORM 4,,,E01592,,98.0,0.0,98.0,12.936,,1.68168,,0.2,,0.05,,0.05,,,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,,,E04555,,266.4,0.0,266.4,35.1648,,4.571424,,0.2,,0.05,,0.05,,,
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,,,E05371,,376.2,0.0,376.2,49.6584,,6.455592,,0.2,,0.05,,0.05,,,
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,,,E05387,,217.08,0.0,217.08,28.654560000000004,,3.7250928000000005,,0.2,,0.07,,0.05,,,
NARUTO TO BORUTO: SHINOBI STRIKER,,,E02855,,98.0,0.0,98.0,12.936,,1.68168,,0.2,,0.05,,0.05,,,
NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,,,E02942,,198.0,0.0,198.0,26.136000000000003,,3.3976800000000007,,0.2,,0.07,,0.05,,,
NARUTO TO BORUTO: SHINOBI STRIKER Ultimate Edition,,,E06292,,398.0,0.0,398.0,52.536,,6.829680000000001,,0.2,,0.07,,0.05,,,
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,,,E03049,,298.0,0.0,298.0,39.336,,5.11368,,0.2,,0.07,,0.05,,,
