Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
TEKKEN 8,E05700,3,348.0,0.0,348.0,47.77692,143.33076,6.2109996,124.69776119999999,0.2,24.939552239999998,0.05,6.234888059999999,0.05,6.234888059999999,29.1,87.30000000000001,0.6090807025651718,,,,
TEKKEN 8,E05700,0,348.0,0.5,174.0,23.88846,0.0,3.1054998,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,
TEKKEN 8 - Deluxe Edition,E06226,0,498.0,0.0,498.0,68.37042,0.0,8.8881546,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,
TEKKEN 8 - Deluxe Edition,E06226,0,498.0,0.4,298.0,40.91242,0.0,5.3186146,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,
TEKKEN 8 - Ultimate Edition,E06227,3,548.0,0.0,548.0,75.23492,225.70476000000002,9.780539600000001,196.36314120000003,0.2,39.27262824000001,0.05,9.818157060000003,0.05,9.818157060000003,45.82,137.46,0.6090257024264796,,,,
TEKKEN 8 - Ultimate Edition,E06227,0,548.0,0.4,328.0,45.03112,0.0,5.8540456,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,E03566,0,248.0,0.4,148.0,20.31892,0.0,2.6414595999999997,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Digital Deluxe Edition,E06534,0,348.0,0.4,208.0,28.55632,0.0,3.7123216,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,
THE IDOLM@STER STARLIT SEASON,E03045,1,348.0,0.0,348.0,47.77692,47.77692,6.2109996,41.565920399999996,0.2,8.31318408,0.05,2.07829602,0.05,2.07829602,29.1,29.1,0.6090807025651717,,,,
THE IDOLM@STER STARLIT SEASON,E03045,126,348.0,0.6,139.0,19.08331,2404.49706,2.4808303,2091.9124422,0.2,418.38248844000003,0.05,104.59562211000001,0.05,104.59562211000001,11.62,1464.12,0.6089090414608367,,,,
THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition,E05096,1,498.0,0.0,498.0,68.37042,68.37042,8.8881546,59.482265399999996,0.2,11.89645308,0.05,2.97411327,0.05,2.97411327,41.64,41.64,0.609035310884444,,,,
THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition,E05096,0,498.0,0.6,199.0,27.32071,0.0,3.5516923,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,
We Love Katamari REROLL+ Royal Reverie,E05071,6,148.0,0.75,37.0,5.07973,30.478379999999998,0.6603648999999999,26.516190599999995,0.2,5.30323812,0.05,1.32580953,0.05,1.32580953,3.09,18.54,0.6083000474434666,,,,
We Love Katamari REROLL+ Royal Reverie Special Edition,E06305,2,198.0,0.75,49.0,6.7272099999999995,13.454419999999999,0.8745373,11.705345399999999,0.2,2.34106908,0.05,0.58526727,0.05,0.58526727,4.1,8.2,0.6094651423101107,,,,
,,10329,,,,,252801.68729999987,728.9179157000002,219937.467951,0.2,43987.49359019999,,10996.873397549998,,10996.873397549998,,153961.72999999995,,,,,
