Product Name,Item Number ,Sales Units,SK QTY,Heybox Qty,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP
CODE VEIN Deluxe Edition,E03483 ,530,13.0,517.0,368,0.85,55.0,7.66755,4063.8015,0.9967815000000001,3535.507305,0.2,707.1014610000001,0.05,176.77536525000002,0.05,176.77536525000002,4.67,2475.1,0.6090602604482527
DARK SOULS III,E01572,41,,41.0,268,0.0,268.0,37.36188,1531.83708,4.8570444,1332.6982596,0.2,266.53965192000004,0.05,66.63491298000001,0.05,66.63491298000001,22.75,932.75,0.6089094017752854
DARK SOULS III - Season Pass,E01893,35,,35.0,138,0.0,138.0,19.238580000000002,673.3503000000001,2.5010154000000004,585.8147610000001,0.2,117.16295220000002,0.05,29.290738050000005,0.05,29.290738050000005,11.72,410.20000000000005,0.6091925703456285
DARK SOULS III Deluxe Edition,E02323,14,,14.0,398,0.0,398.0,55.48518,776.79252,7.2130734,675.8094924,0.2,135.16189848,0.05,33.79047462,0.05,33.79047462,33.79,473.06,0.6089914460041402
DARK SOULS: REMASTERED,E02716,91,1.0,90.0,198,0.0,198.0,27.603180000000002,2511.88938,3.5884134000000003,2185.3437606,0.2,437.06875212000006,0.05,109.26718803000001,0.05,109.26718803000001,16.81,1529.7099999999998,0.6089878050282611
DARK SOULS™ II: Scholar of the First Sin,E01927,22,,22.0,198,0.0,198.0,27.603180000000002,607.2699600000001,3.5884134000000003,528.3248652,0.2,105.66497304,0.05,26.41624326,0.05,26.41624326,16.81,369.82,0.6089878050282611
DEATH NOTE Killer Within,E06643,2,,2.0,48,0.0,48.0,6.69168,13.38336,0.8699184,11.6435232,0.2,2.32870464,0.05,0.58217616,0.05,0.58217616,4.08,8.16,0.6097123592281759
DEATH NOTE Killer Within,E06643,1,,1.0,48,0.25,36.0,5.01876,5.01876,0.6524388000000001,4.3663212,0.2,0.87326424,0.05,0.21831606,0.05,0.21831606,3.06,3.06,0.6097123592281759
DEATH NOTE Killer Within,E06643,4,,4.0,48,0.35,31.0,4.32171,17.28684,0.5618223000000001,15.0395508,0.2,3.00791016,0.05,0.75197754,0.05,0.75197754,2.63,10.52,0.608555409779925
DEATH NOTE Killer Within Special Edition,E06646,1,,1.0,98,0.0,98.0,13.662180000000001,13.662180000000001,1.7760834000000003,11.8860966,0.2,2.37721932,0.05,0.59430483,0.05,0.59430483,8.32,8.32,0.608980411618058
