Customer,Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP
Heybox,CODE VEIN Deluxe Edition,E03483,507,368.0,0.9,36.0,5.265,2669.355,0.68445,2322.3388499999996,0.2,464.46777,0.05,116.1169425,0.05,116.1169425,3.21,1627.47,0.6096866096866097
Heybox,CODE VEIN II,L00239,3,268.0,0.0,268.0,39.195,117.58500000000001,5.09535,102.29894999999999,0.2,20.459789999999998,0.05,5.1149474999999995,0.05,5.1149474999999995,23.87,71.61,0.6090062507972955
Heybox,CODE VEIN II,L00239,47,268.0,0.25,201.0,29.39625,1381.62375,3.8215125,1202.0126624999998,0.2,240.40253249999998,0.05,60.100633124999995,0.05,60.100633124999995,17.9,841.3,0.6089212059361313
Heybox,CODE VEIN II Deluxe Edition,L00240,14,398.0,0.25,298.0,43.582499999999996,610.155,5.665724999999999,530.83485,0.2,106.16696999999999,0.05,26.541742499999998,0.05,26.541742499999998,26.54,371.56,0.6089600183559916
Heybox,CODE VEIN II Ultimate Edition,L00241,18,468.0,0.25,351.0,51.333749999999995,924.0074999999999,6.6733875,803.886525,0.2,160.777305,0.05,40.19432625,0.05,40.19432625,31.26,562.6800000000001,0.6089560961355834
Heybox,DARK SOULS: REMASTERED,E02716,52,198.0,0.0,198.0,28.9575,1505.79,3.764475,1310.0373,0.2,262.00746,0.05,65.501865,0.05,65.501865,17.64,917.28,0.6091686091686092
Heybox,DARK SOULS: REMASTERED,E02716,3657,198.0,0.5,99.0,14.47875,52948.78875,1.8822375,46065.4462125,0.2,9213.0892425,0.05,2303.272310625,0.05,2303.272310625,8.82,32254.74,0.6091686091686092
Heybox,DARK SOULS™ II: Scholar of the First Sin,E01927,15,158.0,0.0,158.0,23.107499999999998,346.61249999999995,3.003975,301.552875,0.2,60.310575,0.05,15.07764375,0.05,15.07764375,14.07,211.05,0.6088932164881533
Heybox,DARK SOULS™ II: Scholar of the First Sin,E01927,1070,158.0,0.5,79.0,11.553749999999999,12362.512499999999,1.5019875,10755.385874999998,0.2,2151.077175,0.05,537.76929375,0.05,537.76929375,7.04,7532.8,0.6093259764145841
Heybox,DARK SOULS III,E01572,34,268.0,0.0,268.0,39.195,1332.63,5.09535,1159.3881,0.2,231.87761999999998,0.05,57.969404999999995,0.05,57.969404999999995,23.87,811.58,0.6090062507972955
Heybox,DARK SOULS III,E01572,1074,268.0,0.5,134.0,19.5975,21047.715,2.547675,18311.512049999998,0.2,3662.30241,0.05,915.5756025,0.05,915.5756025,11.93,12812.82,0.6087511162138027
Heybox,DARK SOULS III - Season Pass,E01893,72,138.0,0.0,138.0,20.182499999999997,1453.1399999999999,2.623725,1264.2317999999998,0.2,252.84635999999998,0.05,63.211589999999994,0.05,63.211589999999994,12.29,884.8799999999999,0.6089433915520872
Heybox,DARK SOULS III - Season Pass,E01893,357,138.0,0.5,69.0,10.091249999999999,3602.5762499999996,1.3118625,3134.2413374999996,0.2,626.8482675,0.05,156.712066875,0.05,156.712066875,6.15,2195.55,0.6094388703084357
Heybox,DARK SOULS III Deluxe Edition,E02323,13,398.0,0.0,398.0,58.207499999999996,756.6975,7.566974999999999,658.326825,0.2,131.665365,0.05,32.91634125,0.05,32.91634125,35.45,460.85,0.6090280462139759
Heybox,DARK SOULS III Deluxe Edition,E02323,2409,398.0,0.5,199.0,29.103749999999998,70110.93375,3.7834874999999997,60996.5123625,0.2,12199.3024725,0.05,3049.825618125,0.05,3049.825618125,17.72,42687.479999999996,0.6088562470472018
Heybox,DEATH NOTE Killer Within,E06643,4,48.0,0.0,48.0,7.02,28.08,0.9126,24.429599999999997,0.2,4.88592,0.05,1.22148,0.05,1.22148,4.28,17.12,0.6096866096866097
