Product Name,Unnamed: 1,Unnamed: 2,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),"Payment Amount
(USD)",Disti Cost % from SRP
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,,,E05373,,108.0,0.0,108.0,14.256,0.0,1.85328,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
NARUTO SHIPPUDEN: ULTIMATE NINJA STORM 4,,,E01592,,98.0,0.0,98.0,12.936,0.0,1.68168,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,,,E04555,,266.4,0.0,266.4,35.1648,0.0,4.571424,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,,,E05371,,376.2,0.0,376.2,49.6584,0.0,6.455592,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,,,E05387,,217.08,0.0,217.08,28.654560000000004,0.0,3.7250928000000005,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
NARUTO TO BORUTO: SHINOBI STRIKER,,,E02855,,98.0,0.0,98.0,12.936,0.0,1.68168,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,,,E02942,,198.0,0.0,198.0,26.136000000000003,0.0,3.3976800000000007,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
NARUTO TO BORUTO: SHINOBI STRIKER Ultimate Edition,,,E06292,,398.0,0.0,398.0,52.536,0.0,6.829680000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,,,E03049,,298.0,0.0,298.0,39.336,0.0,5.11368,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Deluxe Edition,,,E06164,,428.0,0.0,428.0,56.496,0.0,7.344480000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,,,E06165,,468.0,0.0,468.0,61.776,0.0,8.030880000000002,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
NARUTO: Ultimate Ninja STORM,,,E05386,,108.0,0.0,108.0,14.256,0.0,1.85328,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
New Gundam Breaker,,,E02758,,268.0,0.0,268.0,35.376000000000005,0.0,4.598880000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
One Piece Burning Blood,,,E01970,,268.0,0.0,268.0,35.376000000000005,0.0,4.598880000000001,0.0,0.2,0.0,0.07,0.0,0.05,0.0,0.0,
