Customer,Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP
Heybox, GUNDAM BREAKER 4,E04524,1,298.0,0.0,298.0,41.78854,41.78854,5.4325102,36.356029799999995,0.2,7.27120596,0.05,1.81780149,0.05,1.81780149,25.45,25.45,0.6090186448246337
Heybox, GUNDAM BREAKER 4,E04524,2,298.0,0.34,196.0,27.48508,54.97016,3.5730604,47.8240392,0.2,9.56480784,0.05,2.39120196,0.05,2.39120196,16.74,33.48,0.6090577142216795
Heybox, JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,E05524,3,348.0,0.0,348.0,48.800039999999996,146.40012,6.3440052,127.36810439999999,0.2,25.47362088,0.05,6.36840522,0.05,6.36840522,29.72,89.16,0.609015894249267
Heybox, JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,E05524,700,348.0,0.72,97.0,13.60231,9521.617,1.7683003,8283.806789999999,0.2,1656.7613579999997,0.05,414.19033949999994,0.05,414.19033949999994,8.28,5796.0,0.6087201365062258
Heybox,.hack//G.U. Last Recode,E05367,351,278.0,0.9,27.0,3.7862099999999996,1328.9597099999999,0.49220729999999996,1156.1949476999998,0.2,231.23898953999998,0.05,57.809747384999994,0.05,57.809747384999994,2.31,810.8100000000001,0.6101087895283147
Heybox,ACE COMBAT 7: SKIES UNKNOWN,E03174,8178,268.0,0.9,26.0,3.6459799999999998,29816.824439999997,0.4739774,25940.6372628,0.2,5188.12745256,0.05,1297.03186314,0.05,1297.03186314,2.22,18155.16,0.6088897909478385
Heybox,ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,732,368.0,0.8,73.0,10.23679,7493.330279999999,1.3307826999999999,6519.197343599999,0.2,1303.8394687199998,0.05,325.95986717999995,0.05,325.95986717999995,6.23,4560.360000000001,0.6085892159553924
Heybox,ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,999,498.0,0.8,99.0,13.882769999999999,13868.887229999998,1.8047601,12065.931890099999,0.2,2413.1863780199997,0.05,603.2965945049999,0.05,603.2965945049999,8.45,8441.55,0.6086681548422973
Heybox,Accel World VS. Sword Art Online Deluxe Edition,E02452,215,278.0,0.9,27.0,3.7862099999999996,814.0351499999999,0.49220729999999996,708.2105804999999,0.2,141.64211609999998,0.05,35.410529024999995,0.05,35.410529024999995,2.31,496.65000000000003,0.6101087895283147
Heybox,BLACK CLOVER: QUARTET KNIGHTS,E02895,1633,268.0,0.9,26.0,3.6459799999999998,5953.88534,0.4739774,5179.8802458,0.2,1035.97604916,0.05,258.99401229,0.05,258.99401229,2.22,3625.26,0.6088897909478385
Heybox,BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,E02950,91,288.0,0.85,43.0,6.02989,548.71999,0.7838857,477.3863913,0.2,95.47727826,0.05,23.869319565,0.05,23.869319565,3.67,333.96999999999997,0.6086346517100643
Heybox,BLEACH Rebirth of Souls,E06132,2,298.0,0.0,298.0,41.78854,83.57708,5.4325102,72.71205959999999,0.2,14.54241192,0.05,3.63560298,0.05,3.63560298,25.45,50.9,0.6090186448246337
Heybox,BLEACH Rebirth of Souls Deluxe Edition,E06690,4,398.0,0.0,398.0,55.81154,223.24616,7.2555002,194.2241592,0.2,38.844831840000005,0.05,9.711207960000001,0.05,9.711207960000001,33.99,135.96,0.6090138347732387
Heybox,BLEACH Rebirth of Souls Ultimate Edition,E06691,3,498.0,0.0,498.0,69.83453999999999,209.50361999999996,9.0784902,182.26814939999997,0.2,36.453629879999994,0.05,9.113407469999999,0.05,9.113407469999999,42.53,127.59,0.609010956469392
