Product Name,Item Number,Normalized Name
Little Nightmares III Digital Deluxe Edition,L00119,little_nightmares_iii_digital_deluxe_edition
MOBILE SUIT GUNDAM SEED BATTLE DESTINY REMASTERED,E06942,mobile_suit_gundam_seed_battle_destiny_remastered
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,E05373,naruto_shippuden_ultimate_ninja_storm_2
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,E01592,naruto_shippuden_ultimate_ninja_storm_4
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,naruto_shippuden_ultimate_ninja_storm_4_road_to_boruto
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,naruto_shippuden_ultimate_ninja_storm_legacy
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,E05387,naruto_shippuden_ultimate_ninja_storm_trilogy
NARUTO TO BORUTO: SHINOBI STRIKER,E02855,naruto_to_boruto_shinobi_striker
NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,E02942,naruto_to_boruto_shinobi_striker_deluxe_edition
NARUTO TO BORUTO: SHINOBI STRIKER Ultimate Edition,E06292,naruto_to_boruto_shinobi_striker_ultimate_edition
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,E03049,naruto_x_boruto_ultimate_ninja_storm_connections
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Deluxe Edition,E06164,naruto_x_boruto_ultimate_ninja_storm_connections_deluxe_edition
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,E06165,naruto_x_boruto_ultimate_ninja_storm_connections_ultimate_edition
NARUTO: Ultimate Ninja STORM,E05386,naruto_ultimate_ninja_storm
New Gundam Breaker,E02758,new_gundam_breaker
ONE PIECE BURNING BLOOD,E01970,one_piece_burning_blood
ONE PIECE BURNING BLOOD GOLD Edition,E05642,one_piece_burning_blood_gold_edition
ONE PIECE ODYSSEY,E05083,one_piece_odyssey
ONE PIECE ODYSSEY Deluxe Edition,E05788,one_piece_odyssey_deluxe_edition
ONE PIECE WORLD SEEKER,E03295,one_piece_world_seeker
ONE PIECE WORLD SEEKER Deluxe Edition,E03367,one_piece_world_seeker_deluxe_edition
ONE PIECE: PIRATE WARRIORS 4,E02973,one_piece_pirate_warriors_4
ONE PIECE: PIRATE WARRIORS 4 Deluxe Edition,E03825,one_piece_pirate_warriors_4_deluxe_edition
ONE PIECE: PIRATE WARRIORS 4 Legendary Edition,L00434,one_piece_pirate_warriors_4_legendary_edition
ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition,E06098,one_piece_pirate_warriors_4_ultimate_edition
ONE PUNCH MAN: A HERO NOBODY KNOWS,E02997,one_punch_man_a_hero_nobody_knows
Once Upon A KATAMARI,E06970,once_upon_a_katamari
Once Upon A KATAMARI - King of All Sounds Edition,L00120,once_upon_a_katamari_king_of_all_sounds_edition
