Product Name,Normalized Name,Customer,Promo Discount,paxCode,Customer Reference,start_month,end_month
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,Heybox,0.5,PAX0013069260,E05838,2025-12,2026-02
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,Heybox,0.35,PAX0013069260,E05838,2026-02,2026-02
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,Sonkwo,0.4,PAX0013069260,E05838,2025-10,2025-10
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,Sonkwo,0.5,PAX0013069260,E05838,2025-12,2026-02
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,All,0.4,PAX0013073340,E05837,2024-11,2024-11
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,All,0.399999999999999,PAX0013073340,E05837,2024-12,2024-12
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,All,0.4,PAX0013073340,E05837,2025-01,2025-01
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,All,0.4,PAX0013073340,E05837,2025-03,2025-03
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,All,0.4,PAX0013073340,E05837,2025-05,2025-05
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,Heybox,0.4,PAX0013073340,E05837,2025-09,2025-10
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,Heybox,0.5,PAX0013073340,E05837,2025-12,2026-02
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,Heybox,0.35,PAX0013073340,E05837,2026-02,2026-02
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,Sonkwo,0.4,PAX0013073340,E05837,2025-10,2025-10
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,Sonkwo,0.5,PAX0013073340,E05837,2025-12,2026-02
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,All,0.68,PAX0009526222,E02452,2024-11,2024-11
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,All,0.6835,PAX0009526222,E02452,2024-11,2024-11
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,All,0.9,PAX0009526222,E02452,2024-12,2025-06
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,Heybox,0.9,PAX0009526222,E02452,2025-07,2026-02
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,Heybox,0.8,PAX0009526222,E02452,2026-03,2026-03
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,Sonkwo,0.9,PAX0009526222,E02452,2025-07,2025-07
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,Sonkwo,0.9,PAX0009526222,E02452,2025-10,2025-11
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,Sonkwo,0.9,PAX0009526222,E02452,2026-01,2026-01
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,Sonkwo,0.9,PAX0009526222,E02452,2026-03,2026-04
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,All,0.6716,PAX0009950542,E02895,2024-11,2024-11
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,All,0.9,PAX0009950542,E02895,2024-12,2025-06
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,Heybox,0.9,PAX0009950542,E02895,2025-07,2025-11
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,Heybox,0.89,PAX0009950542,E02895,2025-12,2026-01
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,Heybox,0.9,PAX0009950542,E02895,2026-01,2026-04
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,All,0.6944,PAX0009950610,E02950,2024-11,2024-11
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,All,0.85,PAX0009950610,E02950,2024-12,2025-06
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,Heybox,0.85,PAX0009950610,E02950,2025-07,2025-11
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,Heybox,0.84,PAX0009950610,E02950,2025-12,2026-01
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,Heybox,0.85,PAX0009950610,E02950,2026-02,2026-04
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,Sonkwo,0.85,PAX0009950610,E02950,2025-11,2025-11
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,Heybox,0.3,,,2025-09,2026-01
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,Heybox,0.5,,,2026-02,2026-02
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,Heybox,0.4,,,2026-03,2026-04
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,Sonkwo,0.3,,,2025-07,2025-07
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,Sonkwo,0.5,,,2026-02,2026-02
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,Sonkwo,0.4,,,2026-03,2026-03
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,Heybox,0.3,PAX0014038022,E06690,2025-07,2025-07
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,Heybox,0.3,PAX0014038022,E06690,2025-09,2025-10
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,Heybox,0.4,PAX0014038022,E06690,2025-11,2025-11
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,Heybox,0.3,PAX0014038022,E06690,2025-12,2026-01
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,Heybox,0.5,PAX0014038022,E06690,2026-02,2026-02
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,Heybox,0.4,PAX0014038022,E06690,2026-03,2026-04
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,Sonkwo,0.3,PAX0014038022,E06690,2025-11,2025-11
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,Sonkwo,0.3,PAX0014038022,E06690,2026-01,2026-01
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,Sonkwo,0.5,PAX0014038022,E06690,2026-02,2026-02
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,Heybox,0.3,,,2025-09,2026-01
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,Heybox,0.4,,,2026-02,2026-04
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,Heybox,0.5,,,2026-02,2026-02
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,Sonkwo,0.3,,,2025-10,2025-11
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,Sonkwo,0.3,,,2026-01,2026-01
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,Sonkwo,0.5,,,2026-02,2026-02
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,Sonkwo,0.4,,,2026-03,2026-03
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,All,0.25,PAX0014235936,E06117,2024-12,2024-12
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,All,0.3,PAX0014235936,E06117,2025-02,2025-03
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,All,0.5,PAX0014235936,E06117,2025-04,2025-06
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,Heybox,0.5,PAX0014235936,E06117,2025-07,2026-01
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,Heybox,0.7,PAX0014235936,E06117,2026-02,2026-02
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,Heybox,0.6,PAX0014235936,E06117,2026-03,2026-04
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,Sonkwo,0.5,PAX0014235936,E06117,2025-07,2025-07
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,Sonkwo,0.5,PAX0014235936,E06117,2025-10,2025-11
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,Sonkwo,0.5,PAX0014235936,E06117,2026-01,2026-01
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,Sonkwo,0.7,PAX0014235936,E06117,2026-02,2026-02
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,Sonkwo,0.6,PAX0014235936,E06117,2026-03,2026-04
CODE VEIN,code_vein,All,0.6716,PAX0010324338,E03009,2024-11,2024-11
CODE VEIN,code_vein,All,0.85,PAX0010324338,E03009,2024-12,2025-06
CODE VEIN,code_vein,Heybox,0.85,PAX0010324338,E03009,2025-07,2025-12
CODE VEIN,code_vein,Heybox,0.9,PAX0010324338,E03009,2025-09,2025-10
CODE VEIN,code_vein,Heybox,0.89,PAX0010324338,E03009,2025-12,2025-12
CODE VEIN,code_vein,Heybox,0.85,PAX0010324338,E03009,2026-02,2026-04
CODE VEIN,code_vein,Heybox,0.925746268656716,PAX0010324338,E03009,2026-02,2026-02
CODE VEIN,code_vein,Heybox,0.9,PAX0010324338,E03009,2026-04,2026-04
CODE VEIN,code_vein,Sonkwo,0.85,PAX0010324338,E03009,2025-07,2025-07
CODE VEIN,code_vein,Sonkwo,0.85,PAX0010324338,E03009,2025-09,2025-11
CODE VEIN,code_vein,Sonkwo,0.9,PAX0010324338,E03009,2025-10,2025-10
CODE VEIN,code_vein,Sonkwo,0.9,PAX0010324338,E03009,2025-12,2025-12
CODE VEIN,code_vein,Sonkwo,0.89,PAX0010324338,E03009,2026-01,2026-01
CODE VEIN,code_vein,Sonkwo,0.85,PAX0010324338,E03009,2026-02,2026-04
CODE VEIN Deluxe Edition,code_vein_deluxe,All,0.7609,PAX0010361296,E03483,2024-11,2024-11
CODE VEIN Deluxe Edition,code_vein_deluxe,All,0.85,PAX0010361296,E03483,2024-12,2025-06
CODE VEIN Deluxe Edition,code_vein_deluxe,Heybox,0.85,PAX0010361296,E03483,2025-07,2025-11
CODE VEIN Deluxe Edition,code_vein_deluxe,Heybox,0.9,PAX0010361296,E03483,2025-09,2025-10
CODE VEIN Deluxe Edition,code_vein_deluxe,Heybox,0.89,PAX0010361296,E03483,2025-12,2025-12
CODE VEIN Deluxe Edition,code_vein_deluxe,Heybox,0.85,PAX0010361296,E03483,2026-01,2026-04
CODE VEIN Deluxe Edition,code_vein_deluxe,Heybox,0.9,PAX0010361296,E03483,2026-04,2026-04
CODE VEIN Deluxe Edition,code_vein_deluxe,Sonkwo,0.85,PAX0010361296,E03483,2025-07,2025-07
CODE VEIN Deluxe Edition,code_vein_deluxe,Sonkwo,0.85,PAX0010361296,E03483,2025-09,2026-04
CODE VEIN Deluxe Edition,code_vein_deluxe,Sonkwo,0.9,PAX0010361296,E03483,2025-09,2025-10
CODE VEIN II,code_vein_ii,Heybox,0.3,PAX0014842054,L00239,2026-02,2026-02
CODE VEIN II,code_vein_ii,Heybox,0.25,PAX0014842054,L00239,2026-03,2026-04
CODE VEIN II,code_vein_ii,Sonkwo,0.3,PAX0014842054,L00239,2026-02,2026-02
CODE VEIN II,code_vein_ii,Sonkwo,0.25,PAX0014842054,L00239,2026-04,2026-04
CODE VEIN II Deluxe Edition,code_vein_ii_deluxe,Heybox,0.3,PAX0015167434,L00240,2026-02,2026-02
CODE VEIN II Deluxe Edition,code_vein_ii_deluxe,Heybox,0.25,PAX0015167434,L00240,2026-03,2026-04
CODE VEIN II Deluxe Edition,code_vein_ii_deluxe,Sonkwo,0.3,PAX0015167434,L00240,2026-02,2026-02
CODE VEIN II Deluxe Edition,code_vein_ii_deluxe,Sonkwo,0.25,PAX0015167434,L00240,2026-03,2026-04
CODE VEIN II Ultimate Edition,code_vein_ii_ultimate,Heybox,0.3,PAX0015167570,L00241,2026-02,2026-02
CODE VEIN II Ultimate Edition,code_vein_ii_ultimate,Heybox,0.25,PAX0015167570,L00241,2026-03,2026-04
CODE VEIN II Ultimate Edition,code_vein_ii_ultimate,Sonkwo,0.3,PAX0015167570,L00241,2026-02,2026-02
CODE VEIN II Ultimate Edition,code_vein_ii_ultimate,Sonkwo,0.25,PAX0015167570,L00241,2026-03,2026-03
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,All,0.5556,PAX0010849876,E03350,2024-11,2024-11
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,All,0.85,PAX0010849876,E03350,2024-12,2025-02
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,All,0.75,PAX0010849876,E03350,2025-03,2025-03
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,All,0.88,PAX0010849876,E03350,2025-04,2025-06
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,Heybox,0.88,PAX0010849876,E03350,2025-08,2025-11
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,Heybox,0.75,PAX0010849876,E03350,2025-10,2026-01
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,Heybox,0.8,PAX0010849876,E03350,2025-10,2025-10
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,Heybox,0.86,PAX0010849876,E03350,2025-12,2026-01
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,Heybox,0.88,PAX0010849876,E03350,2026-02,2026-04
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,Heybox,0.75,PAX0010849876,E03350,2026-03,2026-04
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,Sonkwo,0.88,PAX0010849876,E03350,2025-07,2025-07
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,Sonkwo,0.88,PAX0010849876,E03350,2025-10,2025-10
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,Sonkwo,0.86,PAX0010849876,E03350,2025-11,2025-12
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,Sonkwo,0.88,PAX0010849876,E03350,2026-02,2026-03
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,All,0.7047,PAX0010849944,E04120,2024-11,2024-11
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,All,0.85,PAX0010849944,E04120,2024-12,2025-02
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,All,0.84,PAX0010849944,E04120,2025-03,2025-06
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,Heybox,0.84,PAX0010849944,E04120,2025-07,2026-04
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,Heybox,0.75,PAX0010849944,E04120,2025-12,2025-12
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,Heybox,0.75,PAX0010849944,E04120,2026-02,2026-04
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,Sonkwo,0.84,PAX0010849944,E04120,2025-10,2025-10
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,Sonkwo,0.84,PAX0010849944,E04120,2025-12,2025-12
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,Sonkwo,0.84,PAX0010849944,E04120,2026-02,2026-02
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,Sonkwo,0.84,PAX0010849944,E04120,2026-04,2026-04
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,All,0.7538,PAX0014008034,E06275,2024-11,2024-11
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,All,0.85,PAX0014008034,E06275,2024-12,2025-02
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,All,0.75,PAX0014008034,E06275,2025-03,2025-03
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,All,0.82,PAX0014008034,E06275,2025-04,2025-06
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,Heybox,0.82,PAX0014008034,E06275,2025-07,2026-04
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,Heybox,0.75,PAX0014008034,E06275,2025-12,2026-02
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,Sonkwo,0.82,PAX0014008034,E06275,2025-07,2025-07
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,Sonkwo,0.82,PAX0014008034,E06275,2025-10,2026-04
DARK SOULS III,dark_souls_iii,All,0.5,PAX0007785082,E01572,2024-11,2025-03
DARK SOULS III,dark_souls_iii,All,0.5,PAX0007785082,E01572,2025-05,2025-05
DARK SOULS III,dark_souls_iii,Heybox,0.5,PAX0007785082,E01572,2025-09,2025-12
DARK SOULS III,dark_souls_iii,Heybox,0.5,PAX0007785082,E01572,2026-02,2026-02
DARK SOULS III,dark_souls_iii,Heybox,0.5,PAX0007785082,E01572,2026-04,2026-04
DARK SOULS III,dark_souls_iii,Sonkwo,0.5,PAX0007785082,E01572,2025-09,2025-10
DARK SOULS III,dark_souls_iii,Sonkwo,0.5,PAX0007785082,E01572,2026-02,2026-02
DARK SOULS III,dark_souls_iii,Sonkwo,0.5,PAX0007785082,E01572,2026-04,2026-04
DARK SOULS III - Season Pass,dark_souls_iii_season_pass,All,0.5,PAX0007947534,E01893,2024-11,2025-03
DARK SOULS III - Season Pass,dark_souls_iii_season_pass,All,0.5,PAX0007947534,E01893,2025-05,2025-05
DARK SOULS III - Season Pass,dark_souls_iii_season_pass,Heybox,0.5,PAX0007947534,E01893,2025-09,2025-12
DARK SOULS III - Season Pass,dark_souls_iii_season_pass,Heybox,0.5,PAX0007947534,E01893,2026-02,2026-02
DARK SOULS III - Season Pass,dark_souls_iii_season_pass,Heybox,0.5,PAX0007947534,E01893,2026-04,2026-04
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,All,0.5,PAX0009513030,E02323,2024-11,2025-03
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,All,0.5,PAX0009513030,E02323,2025-05,2025-05
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,Heybox,0.5,PAX0009513030,E02323,2025-09,2025-12
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,Heybox,0.5,PAX0009513030,E02323,2026-02,2026-02
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,Heybox,0.5,PAX0009513030,E02323,2026-04,2026-04
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,Sonkwo,0.5,PAX0009513030,E02323,2025-09,2025-10
