paxCode,label,Normalized Name
PAX0009688844,Naruto to Boruto: Shinobi Striker,naruto_to_boruto_shinobi_striker
PAX0009735696,Naruto to Boruto: Shinobi Striker Season Pass (DLC),naruto_to_boruto_shinobi_striker_season_pass
PAX0009772144,Naruto Shippuden: Ultimate Ninja Storm Trilogy,naruto_shippuden_ultimate_ninja_storm_trilogy
PAX0009778502,Tekken 7 Season Pass 2 (DLC),tekken_7_season_pass_2
PAX0009789960,Project Cars 2 Season Pass (DLC),project_cars_2_season_pass
PAX0009799344,Soulcalibur VI,soulcalibur_vi
PAX0009799650,Soulcalibur VI (Deluxe Edition),soulcalibur_vi_deluxe
PAX0009802234,Project Cars 2 (Deluxe Edition),project_cars_2_deluxe
PAX0009831474,Ni No Kuni II (The Prince's Edition),ni_no_kuni_ii_the_prince_s
PAX0009836302,Ace Combat 7: Skies Unknown,ace_combat_7_skies_unknown
PAX0009838002,11-11 Memories Retold,11_11_memories_retold
PAX0009870370,Little Witch Academia: Chamber of Time,little_witch_academia_chamber_of_time
PAX0009876184,DeadCore,deadcore
PAX0009879278,Katamari Damacy REROLL,katamari_damacy_reroll
PAX0009942008,Ace Combat 7: Skies Unknown,ace_combat_7_skies_unknown
PAX0009943572,Ace Combat 7: Skies Unknown (Deluxe Edition),ace_combat_7_skies_unknown_deluxe
PAX0009950542,Black Clover: Quartet Knights,black_clover_quartet_knights
PAX0009950610,Black Clover: Quartet Knights (Deluxe Edition),black_clover_quartet_knights_deluxe
PAX0009956560,God Eater 3,god_eater_3
PAX0009956628,Jump Force,jump_force
PAX0009957308,Dragon Ball FighterZ: FighterZ Pass 2 (DLC),dragon_ball_fighterz_fighterz_pass_2
PAX0009957376,Sword Art Online: Fatal Bullet (Complete Edition),sword_art_online_fatal_bullet_complete
PAX0009965366,Ace Combat 7: Skies Unknown Season Pass (DLC),ace_combat_7_skies_unknown_season_pass
PAX0009966896,My Hero One's Justice,my_hero_one_s_justice
PAX0009966964,Naruto to Boruto: Shinobi Striker (Deluxe Edition),naruto_to_boruto_shinobi_striker_deluxe
PAX0009973220,Jump Force (Ultimate Edition),jump_force_ultimate
PAX0009974580,Dragon Ball: Xenoverse 2 - Extra Pass (DLC),dragon_ball_xenoverse_2_extra_pass
PAX0009974784,New Gundam Breaker,new_gundam_breaker
PAX0009975226,One Piece: World Seeker,one_piece_world_seeker
PAX0010018678,Super Dragon Ball Heroes: World Mission,super_dragon_ball_heroes_world_mission
PAX0010036494,Tekken 7 (Ultimate Edition),tekken_7_ultimate
PAX0010114966,Naruto Shippuden: Ultimate Ninja Storm Legacy,naruto_shippuden_ultimate_ninja_storm_legacy
PAX0010119352,Impact Winter,impact_winter
PAX0010120168,Sword Art Online: Lost Song,sword_art_online_lost_song
PAX0010123194,Black Clover: Quartet Knights - Season Pass (DLC),black_clover_quartet_knights_season_pass
PAX0010124146,Ni No Kuni II: Revenant Kingdom Season Pass (DLC),ni_no_kuni_ii_revenant_kingdom_season_pass
PAX0010146858,Naruto to Boruto: Shinobi Striker,naruto_to_boruto_shinobi_striker
PAX0010163654,Dark Souls III: Ashes of Ariandel (DLC),dark_souls_iii_ashes_of_ariandel
PAX0010163688,Dark Souls III: The Ringed City (DLC),dark_souls_iii_the_ringed_city
PAX0010212308,The Dark Pictures Anthology: Man of Medan,the_dark_pictures_anthology_man_of_medan
PAX0010214790,Dragon Ball: Xenoverse 2 - Ultra Pack Set (DLC),dragon_ball_xenoverse_2_ultra_pack_set
PAX0010250558,Little Nightmares: Secrets of The Maw (DLC),little_nightmares_secrets_of_the_maw
PAX0010254468,Dragon Ball Xenoverse 2: Super Pass (DLC),dragon_ball_xenoverse_2_super_pass
PAX0010283674,RAD,rad
PAX0010286360,Tekken 7 (Rematch Edition),tekken_7_rematch
PAX0010286462,Tekken 7 Season Pass (DLC),tekken_7_season_pass
PAX0010301898,Naruto Shippuden: Ultimate Ninja Storm 4,naruto_shippuden_ultimate_ninja_storm_4
PAX0010324338,Code Vein,code_vein
PAX0010344364,Tekken 7 Season Pass 3 (DLC),tekken_7_season_pass_3
PAX0010347560,Ni no Kuni: Wrath of the White Witch Remastered,ni_no_kuni_wrath_of_the_white_witch_remastered
PAX0010351164,One Piece: Unlimited World Red - Deluxe Edition,one_piece_unlimited_world_red_deluxe
PAX0010361296,Code Vein (Deluxe Edition),code_vein_deluxe
PAX0010361364,Code Vein Season Pass (DLC),code_vein_season_pass
PAX0010367280,Tales of Vesperia (Definitive Edition),tales_of_vesperia_definitive
PAX0010367484,Soulcalibur VI Season Pass (DLC),soulcalibur_vi_season_pass
PAX0010373604,Dark Souls II Bundle,dark_souls_ii_bundle
PAX0010382818,Dark Souls III: The Ringed City (DLC),dark_souls_iii_the_ringed_city
PAX0010382852,Dark Souls: Remastered,dark_souls_remastered
PAX0010393018,Jump Force (Deluxe Edition),jump_force_deluxe
PAX0010393392,Get Even,get_even
PAX0010401246,One Piece: Pirate Warriors 3 (Deluxe Edition),one_piece_pirate_warriors_3_deluxe
PAX0010401552,My Hero One's Justice,my_hero_one_s_justice
PAX0010401620,Dragon Ball Xenoverse 2,dragon_ball_xenoverse_2
PAX0010423108,One Piece: World Seeker (Deluxe Edition),one_piece_world_seeker_deluxe
PAX0010423822,Jump Force: Characters Pass (DLC),jump_force_characters_pass
PAX0010425964,Sword Art Online Re: Hollow Fragment,sword_art_online_re_hollow_fragment
PAX0010431846,One Piece: World Seeker (Deluxe Edition),one_piece_world_seeker_deluxe
PAX0010432186,Ace Combat 7: Skies Unknown Season Pass (DLC),ace_combat_7_skies_unknown_season_pass
PAX0010436198,Naruto to Boruto: Shinobi Striker (Deluxe Edition),naruto_to_boruto_shinobi_striker_deluxe
PAX0010440312,Tokyo Ghoul:re [Call to Exist],tokyo_ghoul_re_call_to_exist
PAX0010445650,Get Even,get_even
PAX0010464792,Code Vein,code_vein
PAX0010474210,Dragon Ball Z: Kakarot,dragon_ball_z_kakarot
PAX0010475706,One Piece: Burning Blood (Gold Edition),one_piece_burning_blood_gold
PAX0010476862,Dragon Ball: Xenoverse 2,dragon_ball_xenoverse_2
PAX0010488082,One Piece: World Seeker - Episode Pass (DLC),one_piece_world_seeker_episode_pass
PAX0010489986,Dragon Ball Z: Kakarot (Deluxe Edition),dragon_ball_z_kakarot_deluxe
PAX0010507598,Dragon Ball Z: Kakarot,dragon_ball_z_kakarot
PAX0010508924,Code Vein,code_vein
PAX0010508958,Code Vein (Deluxe Edition),code_vein_deluxe
PAX0010510590,Dark Souls II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin
PAX0010511032,Dark Souls III,dark_souls_iii
PAX0010511202,Dark Souls III: Season Pass (DLC),dark_souls_iii_season_pass
PAX0010511338,Dark Souls III (Deluxe Edition),dark_souls_iii_deluxe
PAX0010515418,Dragon Ball FighterZ,dragon_ball_fighterz
PAX0010515622,Dragon Ball: Xenoverse,dragon_ball_xenoverse
