customer_reference,date,quantity,price,currency
E06689,2025-07,1,223.0,CNY
E06689,2025-07,1,298.0,CNY
E06689,2025-11,1,193.0,CNY
E06689,2026-01,1,193.0,CNY
E06689,2026-02,6,119.0,CNY
E06689,2026-03,2,119.0,CNY
E06689,2026-04,2,119.0,CNY
