customer_reference,date,quantity,price,currency
L00113,2025-10,219,91.0,CNY
L00113,2025-09,1,198.0,CNY
L00113,2026-01,1,198.0,CNY
L00113,2026-01,4,138.0,CNY
L00113,2026-02,1,118.0,CNY
L00113,2026-02,1,198.0,CNY
L00113,2026-03,1,118.0,CNY
L00113,2026-04,2,118.0,CNY
L00113,2026-05,1,148.0,CNY
L00113,2026-06,2,118.0,CNY
