Product Name,Normalized Name,Customer Reference,months_seen,first_period,last_period,resellers,item_number_candidates,needs_review,review_reasons
Tales of Xillia Remastered,tales_of_xillia_remastered,E06124,7,2025-12,2026-06,"Heybox, Sonkwo",E06124=7p,False,
Tales of Xillia Remastered Deluxe Edition,tales_of_xillia_remastered_deluxe,L00231,7,2025-12,2026-06,"Heybox, Sonkwo",L00231=7p,False,
Tales of Zestiria,tales_of_zestiria,E01607,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E01607=22p,False,
TEKKEN 7,tekken_7,E02278,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02278=22p,False,
TEKKEN 7 - Originals Edition,tekken_7_originals,E05647,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05647=22p,False,
TEKKEN 8,tekken_8,E05700,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05700=22p,False,
TEKKEN 8 Advanced Edition,tekken_8_advanced,L00129,7,2025-12,2026-06,"Heybox, Sonkwo",L00129=7p,False,
TEKKEN 8 Deluxe Edition,tekken_8_deluxe,E06226,20,2024-08_2024-09,2026-06,Alibaba,E06226=20p; E06227=3p,True,competing_item_numbers
TEKKEN 8 Season 2 Deluxe Edition,tekken_8_season_2_deluxe,L00111,7,2025-12,2026-06,"Heybox, Sonkwo",L00111=7p,False,
TEKKEN 8 Season 2 Ultimate Edition,tekken_8_season_2_ultimate,L00112,7,2025-12,2026-06,"Heybox, Sonkwo",L00112=7p,False,
TEKKEN 8 - Ultimate Edition,tekken_8_ultimate,E06227,20,2024-08_2024-09,2026-06,Alibaba,E06227=20p; E06534=1p,False,
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,that_time_i_got_reincarnated_as_a_slime_isekai_chronicles,E03566,18,2024-08_2024-09,2026-06,"Alibaba, Heybox",E03566=18p,False,
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Deluxe Edition,that_time_i_got_reincarnated_as_a_slime_isekai_chronicles_deluxe,E06534,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06534=19p,False,
THE IDOLM@STER STARLIT SEASON,the_idolm_ster_starlit_season,E03045,21,2024-10,2026-06,"Alibaba, Heybox, Sonkwo",E03045=21p,True,shared_item_number
THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition,the_idolm_ster_starlit_season_deluxe,E05096,21,2024-10,2026-06,"Alibaba, Heybox, Sonkwo",E05096=21p,True,shared_item_number
THE IDOLMASTER STARLIT SEASON,the_idolmaster_starlit_season,E03045,3,2024-08_2024-09,2026-04,Heybox,E03045=3p,True,shared_item_number
THE IDOLMASTER STARLIT SEASON Deluxe Edition,the_idolmaster_starlit_season_deluxe,E05096,3,2024-08_2024-09,2026-04,Heybox,E05096=3p,True,shared_item_number
Towa and the Guardians of the Sacred Tree,towa_and_the_guardians_of_the_sacred_tree,E06936,7,2025-12,2026-06,"Alibaba, Heybox, Sonkwo",E06936=7p,False,
Towa and the Guardians of the Sacred Tree Deluxe Edition,towa_and_the_guardians_of_the_sacred_tree_deluxe,L00117,7,2025-12,2026-06,"Alibaba, Heybox, Sonkwo",L00117=7p; E06936=1p,False,
We Love Katamari REROLL+ Royal Reverie,we_love_katamari_reroll_royal_reverie,E05071,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05071=21p,False,
We Love Katamari REROLL+ Royal Reverie Special Edition,we_love_katamari_reroll_royal_reverie_special,E06305,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06305=22p,False,
