Product Name,Normalized Name,Customer Reference,months_seen,first_period,last_period,resellers,item_number_candidates,needs_review,review_reasons
Digimon World: Next Order,digimon_world_next_order,E04521,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E04521=19p,False,
DORAEMON STORY OF SEASONS,doraemon_story_of_seasons,E03496,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03496=21p; E06163=1p,False,
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,doraemon_story_of_seasons_friends_of_the_great_kingdom,E05019,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05019=22p,False,
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,E05733,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05733=22p,False,
DRAGON BALL FighterZ,dragon_ball_fighterz,E02533,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02533=21p,False,
DRAGON BALL FighterZ - FighterZ Edition,dragon_ball_fighterz_fighterz,E02595,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02595=22p,False,
DRAGON BALL FighterZ - Legendary Edition,dragon_ball_fighterz_legendary,E02596,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02596=20p; E06163=2p; E03177=1p,True,competing_item_numbers
DRAGON BALL: Sparking! ZERO,dragon_ball_sparking_zero,E06127,20,2024-11,2026-06,"Alibaba, Heybox, Sonkwo",E06127=20p,False,
DRAGON BALL: Sparking! ZERO Deluxe Edition,dragon_ball_sparking_zero_deluxe,E06634,20,2024-11,2026-06,"Alibaba, Heybox, Sonkwo",E06634=20p,False,
DRAGON BALL: Sparking! ZERO Ultimate Edition,dragon_ball_sparking_zero_ultimate,E06655,20,2024-11,2026-06,"Alibaba, Heybox",E06655=20p,False,
DRAGON BALL: THE BREAKERS,dragon_ball_the_breakers,E05011,21,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05011=21p,False,
DRAGON BALL: THE BREAKERS Special Edition,dragon_ball_the_breakers_special,E05644,19,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05644=19p,False,
DRAGON BALL XENOVERSE 2,dragon_ball_xenoverse_2,E02035,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02035=22p,False,
DRAGON BALL XENOVERSE 2 Deluxe Edition,dragon_ball_xenoverse_2_deluxe,E02036,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02036=22p,False,
DRAGON BALL XENOVERSE 2 Special Edition,dragon_ball_xenoverse_2_special,E06308,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06308=20p; E05644=2p,True,competing_item_numbers
DRAGON BALL Z: KAKAROT,dragon_ball_z_kakarot,E03005,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03005=22p,False,
