Normalized Name,Product Name,reseller
sd_gundam_g_generation_cross_rays,SD GUNDAM G GENERATION CROSS RAYS,Sonkwo
sd_gundam_g_generation_cross_rays_platinum,SD GUNDAM G GENERATION CROSS RAYS Platinum Edition,Sonkwo
shadow_labyrinth,Shadow Labyrinth,Sonkwo
shadow_labyrinth_deluxe,Shadow Labyrinth - Deluxe Edition,Sonkwo
soulcalibur_vi,SOULCALIBUR VI,Sonkwo
soulcalibur_vi_deluxe,SOULCALIBUR VI Deluxe Edition,Sonkwo
spy_anya_operation_memories,SPY×ANYA: Operation Memories,Sonkwo
spy_anya_operation_memories_deluxe,SPY×ANYA: Operation Memories Deluxe Edition,Sonkwo
super_robot_wars_30,Super Robot Wars 30,Sonkwo
super_robot_wars_30_deluxe,Super Robot Wars 30 Deluxe Edition,Sonkwo
super_robot_wars_30_ultimate,Super Robot Wars 30 Ultimate Edition,Sonkwo
super_robot_wars_x,SUPER ROBOT WARS X,Sonkwo
super_robot_wars_y,SUPER ROBOT WARS Y,Sonkwo
super_robot_wars_y_deluxe,SUPER ROBOT WARS Y Deluxe Edition,Sonkwo
super_robot_wars_y_expansion_pack,SUPER ROBOT WARS Y - Expansion Pack,Sonkwo
super_robot_wars_y_ultimate,SUPER ROBOT WARS Y Ultimate Edition,Sonkwo
sword_art_online_alicization_lycoris,SWORD ART ONLINE Alicization Lycoris,Sonkwo
sword_art_online_alicization_lycoris_deluxe,SWORD ART ONLINE Alicization Lycoris Deluxe,Sonkwo
sword_art_online_fatal_bullet,Sword Art Online: Fatal Bullet,Sonkwo
sword_art_online_fatal_bullet_complete,Sword Art Online: Fatal Bullet Complete Edition,Sonkwo
sword_art_online_fractured_daydream,SWORD ART ONLINE Fractured Daydream,Sonkwo
sword_art_online_fractured_daydream_deluxe,SWORD ART ONLINE Fractured Daydream Deluxe Edition,Sonkwo
sword_art_online_fractured_daydream_premium,SWORD ART ONLINE Fractured Daydream Premium Edition,Sonkwo
sword_art_online_hollow_realization_deluxe,Sword Art Online: Hollow Realization Deluxe Edition,Sonkwo
sword_art_online_last_recollection,SWORD ART ONLINE Last Recollection,Sonkwo
sword_art_online_last_recollection_deluxe,SWORD ART ONLINE Last Recollection Deluxe Edition,Sonkwo
sword_art_online_lost_song,Sword Art Online: Lost Song,Sonkwo
synduality_echo_of_ada,SYNDUALITY Echo of Ada,Sonkwo
synduality_echo_of_ada_deluxe,SYNDUALITY Echo of Ada Deluxe Edition,Sonkwo
synduality_echo_of_ada_ultimate,SYNDUALITY Echo of Ada Ultimate Edition,Sonkwo
taiko_no_tatsujin_rhythm_festival,Taiko no Tatsujin: Rhythm Festival,Sonkwo
