Product Name,Normalized Name,paxCode,Customer,amount,selling_price,currency,start_month,end_month
DARK SOULS III,dark_souls_iii,PAX0007785082,Sonkwo,1.87,303.67,CNY,2025-08,2025-08
DARK SOULS: REMASTERED,dark_souls_remastered,PAX0009575522,Sonkwo,3.35,223.14,CNY,2025-08,2025-08
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,,Sonkwo,0.86,378.31,CNY,2025-08,2025-08
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,naruto_shippuden_ultimate_ninja_storm_4,PAX0007774372,Sonkwo,1.77,86.39,CNY,2025-08,2025-08
PATAPON 1+2 REPLAY,patapon_1_2_replay,PAX0014894210,Sonkwo,11.78,120.58,CNY,2025-08,2025-08
SUPER ROBOT WARS Y,super_robot_wars_y,PAX0014733764,Sonkwo,63.77,318.43,CNY,2025-08,2025-08
SUPER ROBOT WARS Y,super_robot_wars_y,PAX0014733764,Sonkwo,6.14,322.08,CNY,2025-08,2025-08
SUPER ROBOT WARS Y Deluxe Edition,super_robot_wars_y_deluxe,PAX0014929502,Sonkwo,86.68,533.96,CNY,2025-08,2025-08
SUPER ROBOT WARS Y Deluxe Edition,super_robot_wars_y_deluxe,PAX0014929502,Sonkwo,6.85,558.51,CNY,2025-08,2025-08
SUPER ROBOT WARS Y Ultimate Edition,super_robot_wars_y_ultimate,PAX0014929434,Sonkwo,122.68,693.16,CNY,2025-08,2025-08
