Product Name,Normalized Name,paxCode,Customer,amount,selling_price,currency,start_month,end_month
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Sonkwo,4.36,35.82,CNY,2026-04,2026-04
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Sonkwo,2.22,86.74,CNY,2026-04,2026-04
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Sonkwo,0.93,332.87,CNY,2026-04,2026-04
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,PAX0009526222,Sonkwo,2.11,23.38,CNY,2026-04,2026-04
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,PAX0014235936,Sonkwo,1.1,86.29,CNY,2026-04,2026-04
CODE VEIN,code_vein,PAX0010324338,Sonkwo,0.85,45.05,CNY,2026-04,2026-04
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Sonkwo,8.02,46.88,CNY,2026-04,2026-04
CODE VEIN II,code_vein_ii,PAX0014842054,Sonkwo,5.39,214.58,CNY,2026-04,2026-04
CODE VEIN II Deluxe Edition,code_vein_ii_deluxe,PAX0015167434,Sonkwo,2.29,316.78,CNY,2026-04,2026-04
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,PAX0010849944,Sonkwo,0.93,41.36,CNY,2026-04,2026-04
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,PAX0014008034,Sonkwo,3.46,66.54,CNY,2026-04,2026-04
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,PAX0009513030,Sonkwo,36.68,213.46,CNY,2026-04,2026-04
DARK SOULS™ II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin,PAX0006971122,Sonkwo,2.59,145.6,CNY,2026-04,2026-04
DARK SOULS™ II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin,PAX0006971122,Sonkwo,1653.45,87.83,CNY,2026-04,2026-04
DARK SOULS™ III,dark_souls_iii,PAX0007785082,Sonkwo,10.11,115.11,CNY,2026-04,2026-04
DARK SOULS™ III,dark_souls_iii,PAX0007785082,Sonkwo,0.94,299.52,CNY,2026-04,2026-04
DARK SOULS™: REMASTERED,dark_souls_remastered,PAX0009575522,Sonkwo,1.09,180.81,CNY,2026-04,2026-04
DARK SOULS™: REMASTERED,dark_souls_remastered,PAX0009575522,Sonkwo,33.36,113.47,CNY,2026-04,2026-04
DRAGON BALL FighterZ,dragon_ball_fighterz,PAX0009332320,Sonkwo,1.71,27.54,CNY,2026-04,2026-04
DRAGON BALL FighterZ - FighterZ Edition,dragon_ball_fighterz_fighterz,PAX0009410826,Sonkwo,3.58,44.62,CNY,2026-04,2026-04
DRAGON BALL FighterZ - Legendary Edition,dragon_ball_fighterz_legendary,PAX0013747526,Sonkwo,1.1,88.35,CNY,2026-04,2026-04
DRAGON BALL XENOVERSE 2,dragon_ball_xenoverse_2,PAX0008452536,Sonkwo,0.9,31.87,CNY,2026-04,2026-04
DRAGON BALL XENOVERSE 2 Deluxe Edition,dragon_ball_xenoverse_2_deluxe,PAX0012760472,Sonkwo,4.48,55.32,CNY,2026-04,2026-04
DRAGON BALL XENOVERSE 2 Special Edition,dragon_ball_xenoverse_2_special,,Sonkwo,0.89,90.11,CNY,2026-04,2026-04
DRAGON BALL Z: KAKAROT,dragon_ball_z_kakarot,PAX0010474210,Sonkwo,1.86,59.0,CNY,2026-04,2026-04
DRAGON BALL Z: KAKAROT DAIMA EDITION,dragon_ball_z_kakarot_daima,PAX0015502742,Sonkwo,1.75,134.57,CNY,2026-04,2026-04
DRAGON BALL Z: KAKAROT MASTER EDITION,dragon_ball_z_kakarot_master,,Sonkwo,4.4,266.28,CNY,2026-04,2026-04
Digimon Story Cyber Sleuth: Complete Edition,digimon_story_cyber_sleuth_complete,PAX0010995022,Sonkwo,7.99,20.49,CNY,2026-04,2026-04
Digimon Story Time Stranger,digimon_story_time_stranger,PAX0014830086,Sonkwo,3.6,192.08,CNY,2026-04,2026-04
Digimon Story Time Stranger Ultimate Edition,digimon_story_time_stranger_ultimate,PAX0014928856,Sonkwo,0.87,378.21,CNY,2026-04,2026-04
Digimon Story Time Stranger Ultimate Edition,digimon_story_time_stranger_ultimate,PAX0014928856,Sonkwo,0.9,512.02,CNY,2026-04,2026-04
Digimon Survive,digimon_survive,PAX0012413910,Sonkwo,3.36,53.98,CNY,2026-04,2026-04
JoJo's Bizarre Adventure: All-Star Battle R,jojo_s_bizarre_adventure_all_star_battle_r,PAX0012435840,Sonkwo,1.81,52.24,CNY,2026-04,2026-04
JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,jojo_s_bizarre_adventure_all_star_battle_r_deluxe,PAX0013153750,Sonkwo,0.87,105.9,CNY,2026-04,2026-04
JoJo's Bizarre Adventure: All-Star Battle R Ultimate Edition,jojo_s_bizarre_adventure_all_star_battle_r_ultimate,PAX0013456282,Sonkwo,3.18,165.96,CNY,2026-04,2026-04
Jujutsu Kaisen Cursed Clash Ultimate Edition,jujutsu_kaisen_cursed_clash_ultimate,PAX0013436800,Sonkwo,0.92,171.05,CNY,2026-04,2026-04
MOBILE SUIT GUNDAM SEED BATTLE DESTINY REMASTERED,mobile_suit_gundam_seed_battle_destiny_remastered,PAX0014731554,Sonkwo,1.11,184.52,CNY,2026-04,2026-04
MOBILE SUIT GUNDAM SEED BATTLE DESTINY REMASTERED,mobile_suit_gundam_seed_battle_destiny_remastered,PAX0014731554,Sonkwo,0.91,137.09,CNY,2026-04,2026-04
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,naruto_shippuden_ultimate_ninja_storm_trilogy,PAX0009772144,Sonkwo,0.91,85.15,CNY,2026-04,2026-04
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,naruto_x_boruto_ultimate_ninja_storm_connections,PAX0013555324,Sonkwo,2.28,105.25,CNY,2026-04,2026-04
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,naruto_x_boruto_ultimate_ninja_storm_connections_ultimate,,Sonkwo,0.9,173.07,CNY,2026-04,2026-04
ONE PIECE: PIRATE WARRIORS 4,one_piece_pirate_warriors_4,PAX0010605960,Sonkwo,1.13,47.67,CNY,2026-04,2026-04
ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition,one_piece_pirate_warriors_4_ultimate,,Sonkwo,5.64,69.51,CNY,2026-04,2026-04
ONE PUNCH MAN: A HERO NOBODY KNOWS,one_punch_man_a_hero_nobody_knows,PAX0010593278,Sonkwo,0.91,22.68,CNY,2026-04,2026-04
Once Upon A KATAMARI - King of All Sounds Edition,once_upon_a_katamari_king_of_all_sounds,,Sonkwo,2.13,229.15,CNY,2026-04,2026-04
One Piece Burning Blood,one_piece_burning_blood,PAX0009056410,Sonkwo,2.29,22.76,CNY,2026-04,2026-04
One Piece Burning Blood Gold Edition,one_piece_burning_blood_gold,PAX0010475706,Sonkwo,0.9,47.65,CNY,2026-04,2026-04
One Piece World Seeker,one_piece_world_seeker,PAX0009975226,Sonkwo,1.08,22.24,CNY,2026-04,2026-04
SAND LAND,sand_land,PAX0013449516,Sonkwo,0.92,134.26,CNY,2026-04,2026-04
SCARLET NEXUS,scarlet_nexus,PAX0011642280,Sonkwo,2.2,46.74,CNY,2026-04,2026-04
SCARLET NEXUS Deluxe Edition,scarlet_nexus_deluxe,PAX0011642246,Sonkwo,1.12,52.58,CNY,2026-04,2026-04
SD GUNDAM BATTLE ALLIANCE - Deluxe Edition,sd_gundam_battle_alliance_deluxe,,Sonkwo,0.92,132.82,CNY,2026-04,2026-04
SD GUNDAM G GENERATION CROSS RAYS Platinum Edition,sd_gundam_g_generation_cross_rays_platinum,,Sonkwo,1.86,165.99,CNY,2026-04,2026-04
SUPER ROBOT WARS X,super_robot_wars_x,PAX0011599848,Sonkwo,1.72,54.93,CNY,2026-04,2026-04
SUPER ROBOT WARS Y,super_robot_wars_y,PAX0014733764,Sonkwo,2.18,173.34,CNY,2026-04,2026-04
SUPER ROBOT WARS Y Deluxe Edition,super_robot_wars_y_deluxe,PAX0014929502,Sonkwo,1.79,300.91,CNY,2026-04,2026-04
SUPER ROBOT WARS Y Ultimate Edition,super_robot_wars_y_ultimate,PAX0014929434,Sonkwo,4.34,491.26,CNY,2026-04,2026-04
SWORD ART ONLINE Alicization Lycoris Deluxe,sword_art_online_alicization_lycoris_deluxe,PAX0010797788,Sonkwo,0.9,105.72,CNY,2026-04,2026-04
SWORD ART ONLINE Fractured Daydream,sword_art_online_fractured_daydream,PAX0013976312,Sonkwo,1.11,66.48,CNY,2026-04,2026-04
SWORD ART ONLINE Fractured Daydream Deluxe Edition,sword_art_online_fractured_daydream_deluxe,,Sonkwo,5.64,145.07,CNY,2026-04,2026-04
SYNDUALITY Echo of Ada Ultimate Edition,synduality_echo_of_ada_ultimate,,Sonkwo,0.94,133.43,CNY,2026-04,2026-04
Super Robot Wars 30 Deluxe Edition,super_robot_wars_30_deluxe,PAX0011923630,Sonkwo,1.1,176.21,CNY,2026-04,2026-04
Super Robot Wars 30 Ultimate Edition,super_robot_wars_30_ultimate,PAX0011934816,Sonkwo,1.09,236.31,CNY,2026-04,2026-04
Sword Art Online: Fatal Bullet Complete Edition,sword_art_online_fatal_bullet_complete,PAX0009957376,Sonkwo,5.44,42.5,CNY,2026-04,2026-04
Sword Art Online: Hollow Realization Deluxe Edition,sword_art_online_hollow_realization_deluxe,PAX0009348402,Sonkwo,5.27,46.88,CNY,2026-04,2026-04
TEKKEN 7 - Originals Edition,tekken_7_originals,PAX0012530020,Sonkwo,2.26,52.18,CNY,2026-04,2026-04
TEKKEN 8 Season 2 Ultimate Edition,tekken_8_season_2_ultimate,,Sonkwo,0.94,304.86,CNY,2026-04,2026-04
Tales of Graces f Remastered,tales_of_graces_f_remastered,PAX0014183542,Sonkwo,1.08,83.61,CNY,2026-04,2026-04
Tales of Graces f Remastered Deluxe Edition,tales_of_graces_f_remastered_deluxe,,Sonkwo,1.85,133.43,CNY,2026-04,2026-04
Tales of Vesperia™: Definitive Edition,tales_of_vesperia_definitive,PAX0010367280,Sonkwo,1.7,46.98,CNY,2026-04,2026-04
Tales of Xillia Remastered Deluxe Edition,tales_of_xillia_remastered_deluxe,PAX0015249510,Sonkwo,0.87,263.92,CNY,2026-04,2026-04
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Digital Deluxe Edition,that_time_i_got_reincarnated_as_a_slime_isekai_chronicles_deluxe,,Sonkwo,1.09,89.14,CNY,2026-04,2026-04
