Product Name,Normalized Name,paxCode,Customer,amount,selling_price,currency,start_month,end_month
.hack//G.U. Last Recode,hack_g_u_last_recode,PAX0011204972,Heybox,383.52,23.19,CNY,2025-08,2025-08
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Heybox,7681.39,28.78,CNY,2025-08,2025-08
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,PAX0012537704,Heybox,675.43,64.32,CNY,2025-08,2025-08
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Heybox,1052.98,91.24,CNY,2025-08,2025-08
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,PAX0013069260,Heybox,2.1,376.82,CNY,2025-08,2025-08
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Heybox,29.6,320.27,CNY,2025-08,2025-08
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,PAX0009526222,Heybox,204.12,25.4,CNY,2025-08,2025-08
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,PAX0009950542,Heybox,1409.17,29.72,CNY,2025-08,2025-08
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,PAX0009950610,Heybox,97.63,37.89,CNY,2025-08,2025-08
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,PAX0014038022,Heybox,2.27,270.64,CNY,2025-08,2025-08
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,,Heybox,3.5,339.87,CNY,2025-08,2025-08
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,,Heybox,2.57,433.78,CNY,2025-08,2025-08
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,PAX0014235936,Heybox,19.81,113.87,CNY,2025-08,2025-08
CODE VEIN,code_vein,PAX0010324338,Heybox,894.86,42.93,CNY,2025-08,2025-08
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Heybox,2064.65,57.75,CNY,2025-08,2025-08
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,PAX0010849876,Heybox,2638.0,20.2,CNY,2025-08,2025-08
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,PAX0010849944,Heybox,39.46,42.24,CNY,2025-08,2025-08
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,PAX0014008034,Heybox,114.11,77.84,CNY,2025-08,2025-08
DARK SOULS III,dark_souls_iii,PAX0007785082,Heybox,77.09,244.27,CNY,2025-08,2025-08
DARK SOULS III - Season Pass,dark_souls_iii_season_pass,PAX0007947534,Heybox,24.71,155.51,CNY,2025-08,2025-08
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,PAX0009513030,Heybox,49.23,439.57,CNY,2025-08,2025-08
DARK SOULS: REMASTERED,dark_souls_remastered,PAX0009575522,Heybox,165.52,172.76,CNY,2025-08,2025-08
DARK SOULS™ II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin,PAX0006971122,Heybox,51.93,186.07,CNY,2025-08,2025-08
DEATH NOTE Killer Within,death_note_killer_within,,Heybox,0.87,43.13,CNY,2025-08,2025-08
DEATH NOTE Killer Within,death_note_killer_within,,Heybox,44.86,27.1,CNY,2025-08,2025-08
DEATH NOTE Killer Within Special Edition,death_note_killer_within_special,,Heybox,7.62,69.54,CNY,2025-08,2025-08
DORAEMON STORY OF SEASONS,doraemon_story_of_seasons,PAX0010731760,Heybox,11.29,104.03,CNY,2025-08,2025-08
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,doraemon_story_of_seasons_friends_of_the_great_kingdom,PAX0012561776,Heybox,33.51,151.94,CNY,2025-08,2025-08
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,,Heybox,33.29,162.97,CNY,2025-08,2025-08
DRAGON BALL FighterZ,dragon_ball_fighterz,PAX0009332320,Heybox,867.66,26.55,CNY,2025-08,2025-08
DRAGON BALL FighterZ - FighterZ Edition,dragon_ball_fighterz_fighterz,PAX0009410826,Heybox,216.83,53.13,CNY,2025-08,2025-08
DRAGON BALL FighterZ - FighterZ Edition,dragon_ball_fighterz_fighterz,PAX0009410826,Heybox,0.91,264.96,CNY,2025-08,2025-08
DRAGON BALL FighterZ - Legendary Edition,dragon_ball_fighterz_legendary,PAX0013747526,Heybox,433.06,93.26,CNY,2025-08,2025-08
DRAGON BALL XENOVERSE 2,dragon_ball_xenoverse_2,PAX0008452536,Heybox,2499.02,25.06,CNY,2025-08,2025-08
DRAGON BALL XENOVERSE 2 Deluxe Edition,dragon_ball_xenoverse_2_deluxe,PAX0012760472,Heybox,81.96,69.4,CNY,2025-08,2025-08
DRAGON BALL XENOVERSE 2 Special Edition,dragon_ball_xenoverse_2_special,,Heybox,180.76,110.36,CNY,2025-08,2025-08
DRAGON BALL Z: KAKAROT,dragon_ball_z_kakarot,PAX0010474210,Heybox,208.51,97.97,CNY,2025-08,2025-08
DRAGON BALL: Sparking! ZERO,dragon_ball_sparking_zero,PAX0013753680,Heybox,8.84,267.49,CNY,2025-08,2025-08
DRAGON BALL: Sparking! ZERO,dragon_ball_sparking_zero,PAX0013753680,Heybox,356.13,232.91,CNY,2025-08,2025-08
DRAGON BALL: Sparking! ZERO Deluxe Edition,dragon_ball_sparking_zero_deluxe,PAX0013795602,Heybox,1.82,411.74,CNY,2025-08,2025-08
DRAGON BALL: Sparking! ZERO Deluxe Edition,dragon_ball_sparking_zero_deluxe,PAX0013795602,Heybox,110.63,380.78,CNY,2025-08,2025-08
DRAGON BALL: Sparking! ZERO Ultimate Edition,dragon_ball_sparking_zero_ultimate,PAX0014117378,Heybox,53.66,487.72,CNY,2025-08,2025-08
