Product Name,Normalized Name,paxCode,Customer,amount,selling_price,currency,start_month,end_month
Little Nightmares III,little_nightmares_iii,PAX0013475322,Sonkwo,9.02,203.31,CNY,2025-10,2025-10
Little Nightmares III,little_nightmares_iii,PAX0013475322,Sonkwo,3.37,173.47,CNY,2025-10,2025-10
Little Nightmares III Digital Deluxe Edition,little_nightmares_iii_deluxe,PAX0015081176,Sonkwo,7.47,231.33,CNY,2025-10,2025-10
Little Nightmares III Digital Deluxe Edition,little_nightmares_iii_deluxe,PAX0015081176,Sonkwo,1.9,369.36,CNY,2025-10,2025-10
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,naruto_shippuden_ultimate_ninja_storm_2,PAX0010567030,Sonkwo,2.68,25.42,CNY,2025-10,2025-10
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,naruto_shippuden_ultimate_ninja_storm_4,PAX0007774372,Sonkwo,50.52,42.99,CNY,2025-10,2025-10
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,naruto_shippuden_ultimate_ninja_storm_4,PAX0007774372,Sonkwo,0.91,106.93,CNY,2025-10,2025-10
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,naruto_shippuden_ultimate_ninja_storm_4_road_to_boruto,PAX0009671674,Sonkwo,1.83,96.41,CNY,2025-10,2025-10
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,naruto_shippuden_ultimate_ninja_storm_legacy,PAX0010114966,Sonkwo,2.27,147.6,CNY,2025-10,2025-10
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,naruto_shippuden_ultimate_ninja_storm_trilogy,PAX0009772144,Sonkwo,3.18,84.5,CNY,2025-10,2025-10
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,naruto_x_boruto_ultimate_ninja_storm_connections_ultimate,,Sonkwo,2.25,208.9,CNY,2025-10,2025-10
NARUTO: Ultimate Ninja STORM,naruto_ultimate_ninja_storm,PAX0010567064,Sonkwo,1.79,24.01,CNY,2025-10,2025-10
ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition,one_piece_pirate_warriors_4_ultimate,,Sonkwo,12.16,85.32,CNY,2025-10,2025-10
One Piece World Seeker Deluxe Edition,one_piece_world_seeker_deluxe,PAX0010423108,Sonkwo,1.1,34.98,CNY,2025-10,2025-10
PAC-MAN Mega Tunnel Battle: Chomp Champs,pac_man_mega_tunnel_battle_chomp_champs,PAX0013651816,Sonkwo,25.35,7.91,CNY,2025-10,2025-10
PAC-MAN Mega Tunnel Battle: Chomp Champs - Deluxe Edition,pac_man_mega_tunnel_battle_chomp_champs_deluxe,,Sonkwo,53.05,14.72,CNY,2025-10,2025-10
PAC-MAN WORLD 2 Re-PAC,pac_man_world_2_re_pac,PAX0014976422,Sonkwo,0.95,120.52,CNY,2025-10,2025-10
SAND LAND,sand_land,PAX0013449516,Sonkwo,1.75,131.07,CNY,2025-10,2025-10
SAND LAND Deluxe Edition,sand_land_deluxe,,Sonkwo,5.75,148.73,CNY,2025-10,2025-10
SCARLET NEXUS,scarlet_nexus,PAX0011642280,Sonkwo,2.28,52.65,CNY,2025-10,2025-10
SCARLET NEXUS Deluxe Edition,scarlet_nexus_deluxe,PAX0011642246,Sonkwo,1.88,67.73,CNY,2025-10,2025-10
SCARLET NEXUS Ultimate Edition,scarlet_nexus_ultimate,,Sonkwo,41.9,82.32,CNY,2025-10,2025-10
SD GUNDAM BATTLE ALLIANCE,sd_gundam_battle_alliance,PAX0012417582,Sonkwo,0.89,94.11,CNY,2025-10,2025-10
SD GUNDAM BATTLE ALLIANCE - Deluxe Edition,sd_gundam_battle_alliance_deluxe,,Sonkwo,8.43,137.93,CNY,2025-10,2025-10
