Product Name,Normalized Name,paxCode,Customer,amount,selling_price,currency,start_month,end_month
.hack//G.U. Last Recode,hack_g_u_last_recode,PAX0011204972,Heybox,6.49,50.58,CNY,2026-04,2026-04
.hack//G.U. Last Recode,hack_g_u_last_recode,PAX0011204972,Heybox,6.47,28.55,CNY,2026-04,2026-04
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Heybox,440.58,38.36,CNY,2026-04,2026-04
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,PAX0012537704,Heybox,126.51,66.84,CNY,2026-04,2026-04
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Heybox,679.3,86.72,CNY,2026-04,2026-04
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,PAX0013069260,Heybox,5.17,300.6,CNY,2026-04,2026-04
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Heybox,26.45,282.54,CNY,2026-04,2026-04
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,PAX0009950542,Heybox,13.16,24.31,CNY,2026-04,2026-04
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,PAX0009950610,Heybox,10.42,48.61,CNY,2026-04,2026-04
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,PAX0014038022,Heybox,8.71,197.95,CNY,2026-04,2026-04
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,,Heybox,12.52,255.24,CNY,2026-04,2026-04
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,,Heybox,20.54,331.89,CNY,2026-04,2026-04
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,PAX0014235936,Heybox,9.82,106.0,CNY,2026-04,2026-04
CODE VEIN,code_vein,PAX0010324338,Heybox,577.34,45.15,CNY,2026-04,2026-04
CODE VEIN,code_vein,PAX0010324338,Heybox,159.7,22.43,CNY,2026-04,2026-04
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Heybox,315.5,46.89,CNY,2026-04,2026-04
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Heybox,456.87,31.43,CNY,2026-04,2026-04
CODE VEIN II,code_vein_ii,PAX0014842054,Heybox,3.36,248.69,CNY,2026-04,2026-04
CODE VEIN II,code_vein_ii,PAX0014842054,Heybox,41.93,189.36,CNY,2026-04,2026-04
CODE VEIN II Deluxe Edition,code_vein_ii_deluxe,PAX0015167434,Heybox,15.9,253.59,CNY,2026-04,2026-04
CODE VEIN II Ultimate Edition,code_vein_ii_ultimate,PAX0015167570,Heybox,19.24,309.65,CNY,2026-04,2026-04
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,PAX0010849876,Heybox,2.15,44.21,CNY,2026-04,2026-04
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,PAX0010849876,Heybox,45.74,20.17,CNY,2026-04,2026-04
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,PAX0010849944,Heybox,2.12,63.55,CNY,2026-04,2026-04
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,PAX0010849944,Heybox,15.7,51.86,CNY,2026-04,2026-04
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,PAX0014008034,Heybox,62.22,63.6,CNY,2026-04,2026-04
DARK SOULS III,dark_souls_iii,PAX0007785082,Heybox,32.28,284.11,CNY,2026-04,2026-04
DARK SOULS III,dark_souls_iii,PAX0007785082,Heybox,926.68,145.85,CNY,2026-04,2026-04
DARK SOULS III - Season Pass,dark_souls_iii_season_pass,PAX0007947534,Heybox,78.77,153.27,CNY,2026-04,2026-04
DARK SOULS III - Season Pass,dark_souls_iii_season_pass,PAX0007947534,Heybox,396.01,79.34,CNY,2026-04,2026-04
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,PAX0009513030,Heybox,11.77,445.55,CNY,2026-04,2026-04
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,PAX0009513030,Heybox,2554.22,178.76,CNY,2026-04,2026-04
DARK SOULS: REMASTERED,dark_souls_remastered,PAX0009575522,Heybox,44.43,222.18,CNY,2026-04,2026-04
DARK SOULS: REMASTERED,dark_souls_remastered,PAX0009575522,Heybox,3857.99,84.61,CNY,2026-04,2026-04
DARK SOULS™ II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin,PAX0006971122,Heybox,16.85,135.54,CNY,2026-04,2026-04
DARK SOULS™ II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin,PAX0006971122,Heybox,963.81,72.66,CNY,2026-04,2026-04
DEATH NOTE Killer Within,death_note_killer_within,,Heybox,4.41,41.17,CNY,2026-04,2026-04
DEATH NOTE Killer Within,death_note_killer_within,,Heybox,80.89,21.27,CNY,2026-04,2026-04
DEATH NOTE Killer Within Special Edition,death_note_killer_within_special,,Heybox,2.27,109.81,CNY,2026-04,2026-04
DEATH NOTE Killer Within Special Edition,death_note_killer_within_special,,Heybox,11.35,56.11,CNY,2026-04,2026-04
DORAEMON STORY OF SEASONS,doraemon_story_of_seasons,PAX0010731760,Heybox,10.03,99.71,CNY,2026-04,2026-04
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,doraemon_story_of_seasons_friends_of_the_great_kingdom,PAX0012561776,Heybox,16.54,131.03,CNY,2026-04,2026-04
