Product Name,Normalized Name,paxCode,Customer,amount,selling_price,currency,start_month,end_month
.hack//G.U. Last Recode,hack_g_u_last_recode,PAX0011204972,Sonkwo,0.08,58.61,CNY,2025-04,2025-04
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Sonkwo,0.08,303.2,CNY,2025-04,2025-04
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Sonkwo,1.17,50.11,CNY,2025-04,2025-04
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,PAX0012537704,Sonkwo,0.51,65.0,CNY,2025-04,2025-04
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Sonkwo,6.7,91.64,CNY,2025-04,2025-04
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Sonkwo,0.08,542.39,CNY,2025-04,2025-04
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,PAX0013069260,Sonkwo,0.39,387.7,CNY,2025-04,2025-04
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Sonkwo,2.97,257.68,CNY,2025-04,2025-04
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,PAX0009526222,Sonkwo,2.36,29.17,CNY,2025-04,2025-04
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,PAX0009950542,Sonkwo,1.9,24.19,CNY,2025-04,2025-04
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,PAX0009950610,Sonkwo,1.15,47.21,CNY,2025-04,2025-04
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,PAX0014038022,Sonkwo,3.76,335.53,CNY,2025-04,2025-04
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,,Sonkwo,1.68,442.74,CNY,2025-04,2025-04
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,,Sonkwo,1.88,538.97,CNY,2025-04,2025-04
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,PAX0014235936,Sonkwo,1.26,111.2,CNY,2025-04,2025-04
CODE VEIN,code_vein,PAX0010324338,Sonkwo,0.17,287.3,CNY,2025-04,2025-04
CODE VEIN,code_vein,PAX0010324338,Sonkwo,19.16,44.13,CNY,2025-04,2025-04
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Sonkwo,0.48,402.7,CNY,2025-04,2025-04
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Sonkwo,91.82,58.61,CNY,2025-04,2025-04
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,PAX0010849876,Sonkwo,16.61,25.64,CNY,2025-04,2025-04
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,PAX0010849944,Sonkwo,5.49,52.1,CNY,2025-04,2025-04
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,PAX0014008034,Sonkwo,7.82,61.13,CNY,2025-04,2025-04
DARK SOULS III,dark_souls_iii,PAX0007785082,Sonkwo,3.6,284.3,CNY,2025-04,2025-04
DARK SOULS III - Season Pass,dark_souls_iii_season_pass,PAX0007947534,Sonkwo,2.55,154.73,CNY,2025-04,2025-04
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,PAX0009513030,Sonkwo,2.93,360.74,CNY,2025-04,2025-04
DARK SOULS: REMASTERED,dark_souls_remastered,PAX0009575522,Sonkwo,5.92,226.08,CNY,2025-04,2025-04
DARK SOULS™ II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin,PAX0006971122,Sonkwo,1.94,217.31,CNY,2025-04,2025-04
DEATH NOTE Killer Within,death_note_killer_within,,Sonkwo,0.3,54.44,CNY,2025-04,2025-04
DORAEMON STORY OF SEASONS,doraemon_story_of_seasons,PAX0010731760,Sonkwo,0.55,103.96,CNY,2025-04,2025-04
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,doraemon_story_of_seasons_friends_of_the_great_kingdom,PAX0012561776,Sonkwo,0.16,228.58,CNY,2025-04,2025-04
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,doraemon_story_of_seasons_friends_of_the_great_kingdom,PAX0012561776,Sonkwo,3.74,121.04,CNY,2025-04,2025-04
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,,Sonkwo,2.86,167.69,CNY,2025-04,2025-04
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,,Sonkwo,0.08,328.76,CNY,2025-04,2025-04
DRAGON BALL FighterZ,dragon_ball_fighterz,PAX0009332320,Sonkwo,0.23,212.83,CNY,2025-04,2025-04
DRAGON BALL FighterZ,dragon_ball_fighterz,PAX0009332320,Sonkwo,23.95,26.61,CNY,2025-04,2025-04
DRAGON BALL FighterZ - FighterZ Edition,dragon_ball_fighterz_fighterz,PAX0009410826,Sonkwo,6.98,51.5,CNY,2025-04,2025-04
DRAGON BALL FighterZ - Legendary Edition,dragon_ball_fighterz_legendary,PAX0013747526,Sonkwo,0.15,429.45,CNY,2025-04,2025-04
