Product Name,Normalized Name,paxCode,Customer,amount,selling_price,currency,start_month,end_month
.hack//G.U. Last Recode,hack_g_u_last_recode,PAX0011204972,Sonkwo,9.08,29.61,CNY,2025-01,2025-01
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Sonkwo,0.15,236.31,CNY,2025-01,2025-01
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Sonkwo,14.14,48.66,CNY,2025-01,2025-01
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,PAX0012537704,Sonkwo,4.32,78.56,CNY,2025-01,2025-01
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Sonkwo,33.8,107.92,CNY,2025-01,2025-01
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Sonkwo,83.14,45.79,CNY,2025-01,2025-01
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,PAX0013069260,Sonkwo,0.67,366.87,CNY,2025-01,2025-01
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,PAX0013069260,Sonkwo,1.56,194.36,CNY,2025-01,2025-01
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Sonkwo,3.56,336.18,CNY,2025-01,2025-01
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Sonkwo,38.37,195.49,CNY,2025-01,2025-01
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,PAX0009526222,Sonkwo,10.59,30.5,CNY,2025-01,2025-01
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,PAX0009950542,Sonkwo,3.15,22.94,CNY,2025-01,2025-01
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,PAX0009950610,Sonkwo,1.58,38.63,CNY,2025-01,2025-01
CODE VEIN,code_vein,PAX0010324338,Sonkwo,40.9,43.24,CNY,2025-01,2025-01
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Sonkwo,79.03,60.5,CNY,2025-01,2025-01
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,PAX0010849876,Sonkwo,4.89,32.98,CNY,2025-01,2025-01
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,PAX0010849944,Sonkwo,3.66,38.39,CNY,2025-01,2025-01
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,PAX0014008034,Sonkwo,11.11,53.4,CNY,2025-01,2025-01
DARK SOULS II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin,PAX0006971122,Sonkwo,1.87,224.65,CNY,2025-01,2025-01
DARK SOULS II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin,PAX0006971122,Sonkwo,81.71,112.95,CNY,2025-01,2025-01
DARK SOULS III,dark_souls_iii,PAX0007785082,Sonkwo,3.37,283.11,CNY,2025-01,2025-01
DARK SOULS III,dark_souls_iii,PAX0007785082,Sonkwo,97.71,121.3,CNY,2025-01,2025-01
DARK SOULS III - Season Pass,dark_souls_iii_season_pass,PAX0007947534,Sonkwo,3.62,127.77,CNY,2025-01,2025-01
DARK SOULS III - Season Pass,dark_souls_iii_season_pass,PAX0007947534,Sonkwo,19.43,73.8,CNY,2025-01,2025-01
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,PAX0009513030,Sonkwo,2.51,444.49,CNY,2025-01,2025-01
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,PAX0009513030,Sonkwo,184.0,188.42,CNY,2025-01,2025-01
DARK SOULS: REMASTERED,dark_souls_remastered,PAX0009575522,Sonkwo,4.26,218.27,CNY,2025-01,2025-01
DARK SOULS: REMASTERED,dark_souls_remastered,PAX0009575522,Sonkwo,168.58,88.23,CNY,2025-01,2025-01
DEATH NOTE Killer Within,death_note_killer_within,,Sonkwo,0.29,52.39,CNY,2025-01,2025-01
DEATH NOTE Killer Within,death_note_killer_within,,Sonkwo,0.59,35.35,CNY,2025-01,2025-01
DEATH NOTE Killer Within,death_note_killer_within,,Sonkwo,1.75,33.89,CNY,2025-01,2025-01
DEATH NOTE Killer Within Special Edition,death_note_killer_within_special,,Sonkwo,0.16,79.35,CNY,2025-01,2025-01
DORAEMON STORY OF SEASONS,doraemon_story_of_seasons,PAX0010731760,Sonkwo,0.6,102.44,CNY,2025-01,2025-01
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,doraemon_story_of_seasons_friends_of_the_great_kingdom,PAX0012561776,Sonkwo,1.48,192.55,CNY,2025-01,2025-01
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,,Sonkwo,1.06,210.64,CNY,2025-01,2025-01
DRAGON BALL FighterZ,dragon_ball_fighterz,PAX0009332320,Sonkwo,0.08,221.27,CNY,2025-01,2025-01
DRAGON BALL FighterZ,dragon_ball_fighterz,PAX0009332320,Sonkwo,0.64,99.34,CNY,2025-01,2025-01
DRAGON BALL FighterZ - FighterZ Edition,dragon_ball_fighterz_fighterz,PAX0009410826,Sonkwo,0.41,101.02,CNY,2025-01,2025-01
DRAGON BALL FighterZ - Legendary Edition,dragon_ball_fighterz_legendary,PAX0013747526,Sonkwo,0.1,350.91,CNY,2025-01,2025-01
DRAGON BALL FighterZ - Legendary Edition,dragon_ball_fighterz_legendary,PAX0013747526,Sonkwo,7.41,131.94,CNY,2025-01,2025-01
DRAGON BALL XENOVERSE 2,dragon_ball_xenoverse_2,PAX0008452536,Sonkwo,0.53,85.47,CNY,2025-01,2025-01
DRAGON BALL XENOVERSE 2,dragon_ball_xenoverse_2,PAX0008452536,Sonkwo,0.9,75.83,CNY,2025-01,2025-01
DRAGON BALL XENOVERSE 2 Deluxe Edition,dragon_ball_xenoverse_2_deluxe,PAX0012760472,Sonkwo,0.1,175.94,CNY,2025-01,2025-01
DRAGON BALL XENOVERSE 2 Deluxe Edition,dragon_ball_xenoverse_2_deluxe,PAX0012760472,Sonkwo,1.05,91.74,CNY,2025-01,2025-01
DRAGON BALL XENOVERSE 2 Special Edition,dragon_ball_xenoverse_2_special,,Sonkwo,3.94,134.63,CNY,2025-01,2025-01
DRAGON BALL Z: KAKAROT,dragon_ball_z_kakarot,PAX0010474210,Sonkwo,3.15,82.33,CNY,2025-01,2025-01
DRAGON BALL Z: KAKAROT Deluxe Edition,dragon_ball_z_kakarot_deluxe,PAX0010489986,Sonkwo,7.39,100.91,CNY,2025-01,2025-01
DRAGON BALL Z: KAKAROT Legendary Edition,dragon_ball_z_kakarot_legendary,PAX0012673398,Sonkwo,38.29,107.3,CNY,2025-01,2025-01
