Product Name,Normalized Name,paxCode,Customer,amount,selling_price,currency,start_month,end_month
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Heybox,2.0,285.44,CNY,2025-05,2025-05
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Heybox,9.34,49.82,CNY,2025-05,2025-05
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,PAX0012537704,Heybox,1.69,62.36,CNY,2025-05,2025-05
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Heybox,64.57,85.46,CNY,2025-05,2025-05
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,PAX0013069260,Heybox,147.29,232.18,CNY,2025-05,2025-05
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,PAX0013069260,Heybox,7.12,326.0,CNY,2025-05,2025-05
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Heybox,1044.99,191.09,CNY,2025-05,2025-05
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Heybox,18.52,276.46,CNY,2025-05,2025-05
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,PAX0009526222,Heybox,26.67,24.14,CNY,2025-05,2025-05
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,PAX0009950542,Heybox,10.92,24.12,CNY,2025-05,2025-05
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,PAX0009950610,Heybox,6.88,36.95,CNY,2025-05,2025-05
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,PAX0014038022,Heybox,12.02,329.9,CNY,2025-05,2025-05
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,,Heybox,1.62,373.46,CNY,2025-05,2025-05
